"Name","AnimationSet","ToolBone","ToolBoneSecondary","CarryBone","BaseModel","BaseLayer","LayerVisible","ColorizableClothingMaterials","SkinColorize","SkinEmission","HairColorize","HairEmission","ClothingColorize","ClothingEmission","SkinColoredMaterials","HairColoredMaterials","FaceCamera","BustCamera","BodyCamera","WorkCamera","FaceBusyAnimation","FaceIdleAnimation","FaceBlockedAnimation","FaceHungryAnimation","FacePermBlockedAnimation","FaceIntroAnimation"
"String","String","String","String","String","String","String","boolean","String","int","int","int","int","int","int","String","String","String","String","String","String","String","String","String","String","String","String"
"karl_old_1","Carolina_shared","R_wrist_s",,"carry_item_01_s",,"karl_geo","true","clothing_mat",,,,,4963071,1210060,,,"small_icon_camShape","face_icon_camShape","body_icon_camShape","body_icon_camShape","Idle","Idle","Idle",,,
,,,,,,,,,,,,,14145300,16017999,,,,,,,,,,,,
,,,,,,,,,,,,,1399034,3558342,,,,,,,,,,,,
,,,,,,,,,,,,,9814224,5525833,,,,,,,,,,,,
,,,,,,,,,,,,,16740287,9719146,,,,,,,,,,,,
,,,,,,,,,,,,,10056920,7558078,,,,,,,,,,,,
,,,,,,,,,,,,,1166760,2451530,,,,,,,,,,,,
"villager_karl","Carolina_2","R_tool_s","L_tool_s","carry_item_s","sc3d/char_karl_rig.glb","race3_head_geo","false","char_carolina_clothing_mat",,,,,,,,,"faceCameraShape","faceCameraShape","bodyCameraShape","_UI_work_CameraShape","UiWorking","UiIdle","UiBlocked","UiHungry","UiPermBlocked","UiIntro"
,,,,,,"race3_eyes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_head_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_eyes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_head_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_eyes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"legs_geo","true",,,,,,,,,,,,,,,,,,,
,,,,,,"arms_geo","true",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_00_bracelets_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_01_sleeves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_02_pants_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_01_pants_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_00_pants_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_02_skirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_00_skirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_02_shirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_01_shirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_00_shirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_07_sleeves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_06_sleeves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_05_sleeves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_04_sleeves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_03_sleeves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_00_sleeves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_06_skirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_05_skirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_04_skirt_geo","false",,,,,,,,,,,,,,,,,,,
