"Name","NumberValue","BooleanValue","TextValue","NumberArray","AltNumberArray","StringArray","AltStringArray","HexArray"
"String","int","boolean","string","int","int","String","String","String"
"USE_PEPPER_CRYPTO",,"TRUE",,,,,,
"USE_TOS_AND_PP_FIRST_POPUP",,"TRUE",,,,,,
"FEEDBACK_EMAIL",,,"support@supercell.com",,,,,
"GAME_FACEBOOK_URL",,,"https://supercell.com",,,,,
"GAME_WEIBO_URL",,,"https://supercell.com",,,,,
"GAME_APPBANK_URL",,,,,,,,
"GAME_EXTERNAL_URL",,,"https://supercell.com",,,,,
"GAME_TWITTER_URL",,,"https://supercell.com",,,,,
"GAME_TWITTER_URL_JP",,,"https://supercell.com",,,,,
"TOS_URL",,,"https://supercell.com/en/terms-of-service/",,,,,
"TOS_URL_JP",,,"https://supercell.com/en/terms-of-service/jp/",,,,,
"TOS_URL_KR",,,"https://supercell.com/en/terms-of-service/ko/",,,,,
"PRIVACY_POLICY_URL",,,"https://supercell.com/en/privacy-policy/",,,,,
"PRIVACY_POLICY_URL_JP",,,"https://supercell.com/en/privacy-policy/jp/",,,,,
"PRIVACY_POLICY_URL_KR",,,"https://supercell.com/en/privacy-policy/ko/",,,,,
"PARENTS_GUIDE_URL",,,"https://supercell.com/en/parents/",,,,,
"FAQ_URL",,,"https://supercell.com",,,,,
"FORUMS_URL",,,,,,,,
"HELP_CENTER_LANGUAGES",,,,,,"EN","https://osmiuminteractive.com",
,,,,,,,,
"GOOGLE_PLAY_KUNLUN_TUTORIAL_VIDEO_URL",,,,,,,,
"GOOGLE_PLAY_KUNLUN_TUTORIAL_VIDEO_URL_ANDROID",,,,,,,,
"GOOGLE_KUNLUN_TRANSFER_COUNTRIES",,,,,,"CN",,
"CONNECT_IOS_TO_KUNLUN",,"FALSE",,,,,,
"KUNLUN_SPLASH_MESSAGE",,,,,,,,
"DEVICE_LINK_CHECK_BOUND_TO_KUNLUN",,"TRUE",,,,,,
"CANCEL_KUNLUN_PURCHASES_ON_WINDOW_CLOSED",,"TRUE",,,,,,
,,,,,,,,
"GC_TENCENT_CONFIRMATION_TH_LEVEL",3,,,,,,,
"TENCENT_IOS_CHECK_LANGUAGE_CODE",,"TRUE",,,,,,
"ENABLE_TENCENT",,"FALSE",,,,,,
"ENABLE_TENCENT_FRIENDS",,"TRUE",,,,,,
,,,,,,,,
"SHOW_IAP_INFO_IN_KOREA",,"TRUE",,,,,,
"USE_HELPSHIFT_LINKS",,"FALSE",,,,,,
"TERMS_AND_CONDITIONS_HELPSHIFT_URL",,,,,,,,
"IAP_INFO_KOREA_URL",,,,,,,,
"HELPSHIFT_ENABLED",,"TRUE",,,,,,
"DISABLE_HELPSHIFT_CONTACT_US_FROM_NON_PAYING",,"TRUE",,,,,,
"USE_HELPSHIFT_SDK_LANGUAGE",,"TRUE",,,,,,
"EXTRA_HELPSHIFT_LANGUAGES",,,,,,"fi",,
"HELPSHIFT_MIN_IOS_VERSION",,,7,,,,,
"HELPSHIFT_AFTER_LOGIN",,"TRUE",,,,,,
"SHOW_HELPSHIFT_CONTACT_IN_TH",4,,,,,,,
,,,,,,,,
"SHARED_DEEPLINK_URL",,,,,,,,
,,,,,,,,
"FEEDBACK_CATEGORIES",,,,,,"Purchasing Issue",,
,,,,,,"Connection Issue",,
,,,,,,"Report Problem",,
,,,,,,"Feedback",,
,,,,,,"Lost Village",,
,,,,,,"Account Locked",,
"FEEDBACK_CATEGORY_BANNED",,,"Banned",,,,,
"APP_RATE_XP_LEVEL",5,,,,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_SMALL",48,,,,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_MEDIUM",120,,,,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_LARGE",336,,,,,,,
"GAMECENTER_REAUTHORIZE",,"FALSE",,,,,,
"LOW_MEM_DEVICES",,,,,,"iPod2",,
,,,,,,"iPod3",,
,,,,,,"iPod4",,
,,,,,,"iPhone2",,
,,,,,,"st25i",,
"MEDIUM_GFX_DEVICES",,,,,,"iPad2,1",,
,,,,,,"iPad2,2",,
,,,,,,"iPad2,3",,
,,,,,,"iPad2,4",,
,,,,,,"iPod5",,
"LOW_GFX_DEVICES",,,,,,"iPod2",,
,,,,,,"iPod3",,
,,,,,,"iPod4",,
,,,,,,"iPhone2",,
,,,,,,"iPhone3",,
,,,,,,"iPhone4",,
,,,,,,"iPad2,5",,
,,,,,,"iPad2,6",,
,,,,,,"iPad2,7",,
"GOOGLE_SERVICE_ACHIEVEMENTS_BUTTON",,"TRUE",,,,,,
"PARTNER_AFTER_LOGIN",,"TRUE",,,,,,
"ANDROID_LOW_GFX_DEVICES",,,,,,"GT-N7000",,
,,,,,,"GT-i8190N",,
,,,,,,"U8950",,
,,,,,,"SM-T211",,
"ANDROID_HIGH_MEMORY_LIMIT",900,,,,,,,
"ANDROID_MEDIUM_MEMORY_LIMIT",600,,,,,,,
"SEND_EVENTS_TO_FB",,"FALSE",,,,,,
"SEND_EVENTS_TO_MOBILE_APP_TRACKER",,"FALSE",,,,,,
"DISCONNECT_IF_NETWORK_UNREACHABLE",,"FALSE",,,,,,
"NETWORK_UNREACHABLE_TIMEOUT",30,,,,,,,
"CLOSE_EXIT_CONFIRMATION_ON_BACK_KEY",,"TRUE",,,,,,
"LOADING_ANIM_DISPLAY_DELAY",1000,,,,,,,
"SHOW_GEM_BALANCE_IN_JP",,"TRUE",,,,,,
"POWER_SAVE_MODE_LESS_ENDTURN_MESSAGES",,"TRUE",,,,,,
"ENABLE_KR_CALL_CENTER",,"FALSE",,,,,,
"GOOGLE_SERVICE_ACHIEVEMENTS",,"TRUE",,,,,,
"GOOGLE_SERVICE_REAUTHORIZE",,,,,,,,
"GOOGLE_SERVICE_POPUP_AFTER_FIRST_PURCHASE",,"TRUE",,,,,,
"GOOGLE_SERVICE_POPUP_AFTER_TOWN_HALL_LEVEL",3,,,,,,,
"GOOGLE_SERVICE_POPUP_SHOW_AFTER_EACH_TOWNHALL",,"TRUE",,,,,,
"IN_APP_RETRY_LIMIT",4,,,,,,,
"SHOW_BUBBLE_ICON_ON_BROKEN_TRAPS",,"FALSE",,,,,,
"DISCONNECT_IN_APPS",,"FALSE",,,,,,
"RETRY_PURCHASES_IN_SHOP",,"TRUE",,,,,,
"RECONNECT_AFTER_SLEEPING_SECONDS",180,,,,,,,
"SHOW_GEMS_PURCHASE_BUTTON_DURING_TUTORIAL",,"FALSE",,,,,,
"CONTENT_UPDATE_HASH_CHECK",,"TRUE",,,,,,
"SEND_PERFORMANCE_EVENTS",,"FALSE",,,,,,
"SEND_PERFORMANCE_EVENTS_ANDROID",,"FALSE",,,,,,
"PERFORMANCE_EVENTS_INTERVAL_SECONDS",99999,,,,,,,
"PERFORMANCE_EVENTS_INTERVAL_SECONDS_ANDROID",60,,,,,,,
"HARD_BIND_TOWN_HALL_LEVEL",4,,,,,,,
"USE_DEVICE_LINK",,"TRUE",,,,,,
"DISABLE_MASK_FROM_EMPTY_INPUT_FIELD",,"TRUE",,,,,,
"ONLY_INSTALLED_FACEBOOK_FRIENDS",,"TRUE",,,,,,
"CONFIRM_WORD_MAX_LENGTH",15,,,,,,,
"HUD_PRINT_TIME",6,,,,,,,
"HUD_PRINT_TIME_LONG",30,,,,,,,
"PAYMENT_LIMIT_CONFIRMATION_ENABLED",,"FALSE",,,,,,
"PAYMENT_LIMIT_CONFIRMATION_USD",15000,,,,,,,
"PAYMENT_LIMIT_CONFIRMATION_TIME",15,,,,,,,
"SHOW_IAP_NOTIFICATION_POPUP",,"TRUE",,,,,,
"SEND_ONLY_INSTALL_EVENTS_TO_APP_TRACKER",,"FALSE",,,,,,
"SWITCH_CONFIRMATION_XP_LEVEL",7,,,,,,,
"BUFFER_SERVER_COMMANDS",,"TRUE",,,,,,
"ACHIEVEMENTS_ENABLED",,"TRUE",,,,,,
"GAME_CENTER_ACHIEVEMENTS_ENABLED",,"TRUE",,,,,,
"GAME_CENTER_CHALLENGES_ENABLED",,"TRUE",,,,,,
"SHOW_NEWS_INDICATOR_XP_LIMIT",10,,,,,,,
"SEND_GC_ACHIEVEMENT_0_PROGRESS",,"FALSE",,,,,,
"USE_GC_SEND_ALL_ACHIEVEMENTS",,"TRUE",,,,,,
"SEND_GC_ACHIEVEMENT_PROGRESS_ONCE",,"TRUE",,,,,,
,,,,,,,,
"DISABLE_STARTUP_CONSTANT_CONNECTION_FIX",,"FALSE",,,,,,
"KEEPALIVE_INTERVAL_SECONDS",5,,,,,,,
"DISCONNECT_IF_KEEPALIVE_IS_BEHIND",,"TRUE",,,,,,
"KEEPALIVE_TIMEOUT",30,,,,,,,
"KEEPALIVE_SHOW_WARNING_AFTER_SECONDS",10,,,,,,,
"USE_DEFAULT_USER_NAME",,"FALSE",,,,,,
,,,,,,,,
"SHOW_VILLAGE_THUMBNAIL_ON_PROFILE",,"TRUE",,,,,,
"ENABLE_SC_CACHING",,"TRUE",,,,,,
"ENABLE_SC_CACHE_LOADING",,"TRUE",,,,,,
"SC_CACHE_FREE_SPACE_LIMIT",200,,,,,,,
"SC_CACHE_FREE_SPACE_LIMIT_ANDROID",400,,,,,,,
"SC_CACHE_USE_MODULO",,,,,,,,
"FALLBACK_ARABIC_FONT",,,"font/NotoNaskhArabic-Bold.ttf",,,,,
"TRACK_GC_SPEND_MODULO",199,,,,,,,
"TEXTFIELD_SCALE_FONT_SIZE_MAX_TESTS",3,,,,,,,
"LANGUAGE_SETTINGS_SCROLL_MS",300,,,,,,,
"LANGUAGE_SETTINGS_SCROLL_ENABLED",,"TRUE",,,,,,
"USE_REAL_WORLD_THRESHOLDS",,"FALSE",,,,,,
"PAN_THRESHOLD",16,,,,,,,
"PINCH_THRESHOLD",13,,,,,,,
