"Name","FontSize","ImageAsset"
"String","int","String"
,,
"TID_CREDITS_CATEGORY",,
"Andrew Paige",,
"Aki Immonen ",,
"Andrew Park ",,
"Andrius Sliogeris",,
"Antti Mattila",,
"Anu Kurikka ",,
"Asko Puurula ",,
"Damien Mabin",,
"Dennis Belfrage ",,
"Derek Chan ",,
"Emily Tierney ",,
"Ewan Thonger",,
"Frieda Ma",,
"Harri Granholm ",,
"Harri Hätinen ",,
"Henri Viitanen ",,
"Jaakko Väyrynen ",,
"Janne Peltola",,
"Johannes Cole ",,
"Jonatas Chagas",,
"Jumpei Oki ",,
"Kaarlo Kananen ",,
"Ken Taya ",,
"Lasse Seppänen ",,
"Marcus Wagenfuhr ",,
"Martin Schjøler",,
"Matti Kemppainen ",,
"Mickey Smeds",,
"Mikko Lehtonen",,
"Mikko Lindstedt",,
"Mikko Suvilainen",,
"Min Zhou",,
"Minyoung Kang ",,
"Nicklas Renqvist ",,
"Nigel Goh ",,
"Olli Tervo ",,
"Slava Volcov",,
"Stefan Engblom ",,
"Stephen Park ",,
"Taneli Oksama",,
"Tibor Toth",,
"Timur Haussila",,
"Tomi Joki-Korpela",,
"Touko Tahkokallio",,
"Tristan Williams ",,
"Valtter Vihervuori ",,
"Vicent Boned ",,
"Vladimir Tsoi",,
"Yukiko Morishita ",,
"-",,
"TID_SPECIAL_THANKS_CATEGORY",,
"Addict Mobile",,
"Amber Aki Huang",,
"Anya Jo Elvidge",,
"Ben Seto",,
"Cheryl Young",,
"Crayon Submarine",,
"Creadits",,
"Dani Timberbound",,
"Ehrenborg Studio",,
"Eric Dagley",,
"Goh Nakamura",,
"Gummicube",,
"Jake Morrison",,
"James Castillo",,
"Jeff Sloniker",,
"Jonathan Chu",,
"Karine Villette",,
"Leia Ham",,
"Lightning Orchard",,
"Lobo",,
"Massive Brush",,
"Mathew Burns",,
"Max Grecke",,
"Mike McCain",,
"Mike Uziel",,
"Miyoung",,
"Nieko Play",,
"Ocellus Studio",,
"Patagon Digital",,
"Pie Trap",,
"Psyop",,
"Rachael Lee",,
"Regis Donsimoni",,
"Scott Kikuta",,
"Steven Sugar",,
"Studio 5518",,
"Sun Creature",,
"Ted Lockwood",,
"The Frameyard",,
"Xochitl Ramirez",,
"Zombot Studio",,
"-",,
"-",,
"TID_COPYRIGHT",26,
"-",,
"carrot",,"sc/ui.sc#icon_resource_carrot"
"-",20,
