"Name","DeviceType","SystemVersion","GpuType","MemoryLimit","HalfResScreen","DisableShadow","HalfResTex","QuarterResTex","HalfResUi","CullValleyBg","OffsetLODs","ReduceAnimations","LowQualityParticleSimulation","ReduceWorkerUiAnims","DisableMovie","Probability"
"String","String","String","String","int","String","String","String","String","String","String","String","String","String","String","String","int"
"BadPixelFillrate",,,"Adreno (TM) 504",,"On",,,,,,,,,,,
"BadVertexProcessing","SM-G900F",,,,,,,,,"On",,,,,,
"LowMemDevices",,,,2048,,,"On",,"On","Off",,,,,,
"VeryLowMemDevices",,,,1536,,,,"On",,,,"On",,,,
"LowTierDevices","DLT-H0",,,,,"On",,,,,,,"On","On",,
,"BTV-DL09",,,,,,,,,,,,,,,
,"BND-L21",,,,,,,,,,,,,,,
,"AGS2-L09",,,,,,,,,,,,,,,
,"vivo 1812",,,,,,,,,,,,,,,
,"Z6621O",,,,,,,,,,,,,,,
,"brown tab1",,,,,,,,,,,,,,,
,"RNE-L22",,,,,,,,,,,,,,,
,"PRA-LX2",,,,,,,,,,,,,,,
,"M6T",,,,,,,,,,,,,,,
,"PCDM00",,,,,,,,,,,,,,,
,"ANE-LX2J",,,,,,,,,,,,,,,
,"meizu C9",,,,,,,,,,,,,,,
,"ANE-LX1",,,,,,,,,,,,,,,
,"MAX 10",,,,,,,,,,,,,,,
,"MID1016-MK",,,,,,,,,,,,,,,
,"SM-J730G",,,,,,,,,,,,,,,
,"H4311",,,,,,,,,,,,,,,
,"Neffos_C9A",,,,,,,,,,,,,,,
,"BLL-L22",,,,,,,,,,,,,,,
,"WAS-LX1A",,,,,,,,,,,,,,,
,"WAS-TL10",,,,,,,,,,,,,,,
,"LLD-L21",,,,,,,,,,,,,,,
,"B3-A40",,,,,,,,,,,,,,,
,"ANE-LX3",,,,,,,,,,,,,,,
,"ANE-LX2",,,,,,,,,,,,,,,
,"Z10",,,,,,,,,,,,,,,
,"ASUS_X008D",,,,,,,,,,,,,,,
,"Redmi 6A",,,,,,,,,,,,,,,
,"Nokia 2.3",,,,,,,,,,,,,,,
,"ASUS_X017DA",,,,,,,,,,,,,,,
,"Moto G (4)",,,,,,,,,,,,,,,
,"NEM-L22",,,,,,,,,,,,,,,
