"Name","TID","VillageLevelMin","VillageLevelMax","iOSTID","AndroidTID"
"String","String","int","int","String","String"
"welcome message","TID_HINT_WELCOME",,,,
"cheerleading1","TID_HINT_CHEERLEADING_1",1,,,
"cheerleading2","TID_HINT_CHEERLEADING_2",1,,,
"cheerleading3","TID_HINT_CHEERLEADING_3",1,,,
"cheerleading4","TID_HINT_CHEERLEADING_4",1,,,
"cheerleading5","TID_HINT_CHEERLEADING_5",1,,,
"cheerleading6","TID_HINT_CHEERLEADING_6",1,,,
"cheerleading7","TID_HINT_CHEERLEADING_7",1,,,
"cheerleading8","TID_HINT_CHEERLEADING_8",1,,,
"cheerleading9","TID_HINT_CHEERLEADING_9",1,,,
"general1","TID_HINT_GENERAL_1",1,,,
"village1","TID_HINT_VILLAGE_1",1,,,
"village2","TID_HINT_VILLAGE_2",1,,,
"village3","TID_HINT_VILLAGE_3",1,,,
"village4","TID_HINT_VILLAGE_4",1,,,
"village5","TID_HINT_VILLAGE_5",1,,,
"village6","TID_HINT_VILLAGE_6",1,,,
"village7","TID_HINT_VILLAGE_7",1,,,
"village8","TID_HINT_VILLAGE_8",1,,,
"village9","TID_HINT_VILLAGE_9",1,,,
"village10","TID_HINT_VILLAGE_10",1,,,
"village11","TID_HINT_VILLAGE_11",1,,,
"valley1","TID_HINT_VALLEY_1",3,,,
"valley2","TID_HINT_VALLEY_2",3,,,
"valley3","TID_HINT_VALLEY_3",3,,,
"valley4","TID_HINT_VALLEY_4",3,,,
"valley5","TID_HINT_VALLEY_5",3,,,
"valley6","TID_HINT_VALLEY_6",3,,,
"valley7","TID_HINT_VALLEY_7",3,,,
"valley8","TID_HINT_VALLEY_8",3,,,
"valley9","TID_HINT_VALLEY_9",3,,,
"valley10","TID_HINT_VALLEY_10",3,,,
"valley11","TID_HINT_VALLEY_11",3,,,
"valley12","TID_HINT_VALLEY_12",3,,,
"valley13","TID_HINT_VALLEY_13",3,,,
"valley14","TID_HINT_VALLEY_14",3,,,
"valley15","TID_HINT_VALLEY_15",3,,,
"valley16","TID_HINT_VALLEY_16",3,,,
