Parent,Child,Probability
String,String,int
Hill1,Hill1,100
Hill1,Forest3,100
Hill1,Hill2,80
Hill2,Hill1,50
Hill2,Forest3,75
Hill1,Forest1,100
Hill2,MegaGrass1,50
DeepGrass1,DeepGrass1,33
Forest1,Hill2,33
Forest1,DeepGrass1,33
Forest1,Forest1,100
Forest1,Forest3,100
Forest3,Forest4,75
Forest4,Forest3,100
Forest3,DeepGrass1,33
TreeMed1,TreeMed1,100
TreeMed1,TreeMed2,90
TreeMed2,TreeMed1,75
TreeMed1,MedGrass1,50
MedGrass1,MedGrass1,50
TreeMed2,EmptyMed,10
Tree1,Tree1,100
Tree1,Tree2,50
Tree2,Tree1,50
Tree1,Flower1,100
Flower1,Flower1,100
Tree1,Empty,2
Flower1,Bush1,5
Grass1,Grass1,50
Tree1Village,Tree1Village,100
Tree1Village,Tree1,100
Tree1Village,Tree2,100
EmptyRoad,EmptyRoad,100
EmptyBuilding,EmptyBuilding,100
EmptyRiver,EmptyRiver,100
