"Name","FileNames","MinVolume","MaxVolume","MinPitch","MaxPitch","Priority","MaximumByType","MaxRepeatMs","Loop","PlayVariationsInSequence","PlayVariationsInSequenceManualReset","StartDelayMinMs","StartDelayMaxMs","PlayOnlyWhenInView","MaxVolumeScaleLimit","NoSoundScaleLimit","PadEmpyToEndMs","FalloffStart","FalloffEnd"
"string","string","int","int","int","int","int","int","int","boolean","boolean","boolean","int","int","boolean","int","int","int","int","int"
"Footsteps","sfx/footstep_01.ogg",5,10,90,110,2,10,30,,,,,,,,,,0,15
,"sfx/footstep_02.ogg",5,10,90,110,2,10,30,,,,,,,,,,0,15
"ChopWood","sfx/wall_pickup_01.wav",40,40,70,80,2,10,30,,,,,,,,,,5,30
"Generic Pick Up","sfx/pickup_building_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Generic Placing","sfx/drop_new_construction_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Tap_Villager_Home","sfx/tap_villager_home_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Village_Square","sfx/tap_village_square_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Potion_Warehouse","sfx/tap_potion_warehouse_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_General_Warehouse","sfx/tap_general_warehouse_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Boost_Fountain","sfx/tap_boost_fountain_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Library","sfx/tap_library_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Trading_Post","sfx/tap_village_trader_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Village_Trader","sfx/tap_village_trader_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Trader_Cart","sfx/tap_trader_cart_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Sawmill","sfx/tap_sawmill_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Brickyard","sfx/tap_brick_yard_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Chicken_Coop","sfx/tap_chicken_coop_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Wood_Storage","sfx/tap_woodstorage_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Stone_Storage","sfx/tap_stone_storage_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Clay_Storage","sfx/tap_clay_storage_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Clay_Pit","sfx/tap_clay_pit_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Stone_Pit","sfx/tap_stone_pit_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Pumpkin_Patch","sfx/tap_pumpkin_patch_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Carpenter","sfx/tap_carpenter_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Pottery_Workshop","sfx/tap_pottery_workshop_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Statue_Workshop","sfx/tap_statue_workshop_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Juice_Press","sfx/tap_juice_press_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Flour_Mill","sfx/tap_flour_mill_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Bee_Hive","sfx/tap_bee_hive_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Tap_Apple_Tree_Grove","sfx/tap_apple_tree_grove_01.wav",25,25,98,102,2,5,300,,,,,,,,,,,
"Valley_Tap_Capital","sfx/nation_valley_tap_capital_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Wonder","sfx/nation_valley_tap_wonder_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Salt","sfx/nation_valley_tap_salt_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Sugar","sfx/nation_valley_tap_sugar_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Indigo","sfx/nation_valley_tap_indigo_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Cotton","sfx/nation_valley_tap_cotton_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Fish","sfx/nation_valley_tap_fish_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Pasture","sfx/nation_valley_tap_pasture_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Fields","sfx/nation_valley_tap_fields_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Toy_Workshop","sfx/nation_valley_tap_toy_workshop_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Dye_Shop","sfx/nation_valley_tap_dye_shop_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
