"TID","EN"
"string","string"
"TID_LOADING","Loading"
"TID_UPDATING_CONTENT","Updating"
"TID_AMOUNT_OUT_OF_MAX","<amount> / <max>"
"TID_RESEARCH_MENU_TITLE","RESEARCH TREE"
"TID_BUILD_SCREEN_TITLE","BUILDINGS"
"TID_SETTINGS_SCREEN_TITLE","SETTINGS"
"TID_LEVEL_NUM","Level <number>"
"TID_ITEM_LEVEL","<item> (Level <number>)"
"TID_ITEM_UNCONSTRUCTED","<item> (Unfinished)"
"TID_CANCEL","CANCEL"
,
"TID_BUILDING_HOUSE","Home"
"TID_BUILDING_NAMED_HOUSE","<name>'s Home"
"TID_BUILDING_ROAD","Road"
"TID_BUILDING_FIELD_PUMPKIN","Pumpkin Patch"
"TID_BUILDING_TREASURY","Village Treasury"
"TID_BUILDING_WOOD_STORAGE","Wood Storage"
"TID_BUILDING_STONE_STORAGE","Stone Storage"
"TID_BUILDING_CLAY_STORAGE","Clay Storage"
"TID_BUILDING_LIBRARY","Study"
"TID_BUILDING_VILLAGE_KITCHEN","Village Kitchen"
"TID_BUILDING_SAWMILL","Sawmill"
"TID_BUILDING_STONE_MINE","Stone Mine"
"TID_BUILDING_STONE_MINE_UNCONSTRUCTED","Stone Mine Ruins"
"TID_BUILDING_CLAY_PIT","Clay Pit"
"TID_BUILDING_CLAY_PIT_UNCONSTRUCTED","Clay Pit Ruins"
"TID_BUILDING_TRADING_POST","Trading Post"
"TID_BUILDING_CHICKEN_COOP","Chicken Coop"
"TID_BUILDING_BRICK_YARD","Brickyard"
"TID_BUILDING_VILLAGE_TRADER","Otto's Trading Booth"
"TID_BUILDING_FIGURINEWORKSHOP","Figurine Workshop"
"TID_BUILDING_POTTERYWORKSHOP","Pottery Workshop"
"TID_BUILDING_STATUEWORKSHOP","Statue Workshop"
"TID_BUILDING_JUICEPRESS","Juice Press"
"TID_BUILDING_WINDMILL","Windmill"
"TID_BUILDING_BEEHIVE","Beehive"
"TID_BUILDING_APPLETREEGROVE","Apple Tree Grove"
"TID_BUILDING_MANAGED_FOREST","Evergrove"
"TID_BUILDING_MANAGED_FOREST_UNCONSTRUCTED","Dormant Evergrove"
,
"TID_DECO_CAROLINA_STATUE","Villager Statue"
"TID_DECO_FLOWER_BLUEBELLS","Bluebells"
"TID_DECO_DOG_HOUSE","Dog House"
"TID_DECO_FLOWER_SUNFLOWERS","Sunflowers"
