"ResourceCount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30"
"int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int"
100,20,20,20,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,
110,20,20,20,20,20,10,,,,,,,,,,,,,,,,,,,,,,,,
120,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
130,30,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
140,30,30,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
150,30,30,30,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
160,30,30,30,30,20,20,,,,,,,,,,,,,,,,,,,,,,,,
170,30,30,30,30,30,20,,,,,,,,,,,,,,,,,,,,,,,,
180,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,
190,40,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,
200,40,40,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,
210,40,40,40,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,
220,40,40,40,40,30,30,,,,,,,,,,,,,,,,,,,,,,,,
230,40,40,40,40,40,30,,,,,,,,,,,,,,,,,,,,,,,,
240,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,
250,50,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,
260,50,50,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,
270,50,50,50,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,
280,50,50,50,50,40,40,,,,,,,,,,,,,,,,,,,,,,,,
290,50,50,50,50,50,40,,,,,,,,,,,,,,,,,,,,,,,,
300,40,40,40,40,40,40,20,20,20,,,,,,,,,,,,,,,,,,,,,
310,50,40,40,40,40,40,20,20,20,,,,,,,,,,,,,,,,,,,,,
320,50,50,40,40,40,40,20,20,20,,,,,,,,,,,,,,,,,,,,,
330,50,50,50,40,40,40,20,20,20,,,,,,,,,,,,,,,,,,,,,
340,50,50,50,40,40,40,30,20,20,,,,,,,,,,,,,,,,,,,,,
350,50,50,50,50,40,40,30,20,20,,,,,,,,,,,,,,,,,,,,,
360,50,50,50,50,50,40,30,20,20,,,,,,,,,,,,,,,,,,,,,
370,50,50,50,50,50,50,30,20,20,,,,,,,,,,,,,,,,,,,,,
380,50,50,50,50,50,50,30,30,20,,,,,,,,,,,,,,,,,,,,,
390,60,50,50,50,50,50,30,30,20,,,,,,,,,,,,,,,,,,,,,
400,60,60,50,50,50,50,30,30,20,,,,,,,,,,,,,,,,,,,,,
410,60,60,60,50,50,50,30,30,20,,,,,,,,,,,,,,,,,,,,,
420,60,60,60,50,50,50,30,30,30,,,,,,,,,,,,,,,,,,,,,
430,60,60,60,60,50,50,30,30,30,,,,,,,,,,,,,,,,,,,,,
440,60,60,60,60,60,50,30,30,30,,,,,,,,,,,,,,,,,,,,,
450,60,60,60,60,60,60,30,30,30,,,,,,,,,,,,,,,,,,,,,
460,60,60,60,60,60,60,40,30,30,,,,,,,,,,,,,,,,,,,,,
470,70,60,60,60,60,60,40,30,30,,,,,,,,,,,,,,,,,,,,,
480,70,70,60,60,60,60,40,30,30,,,,,,,,,,,,,,,,,,,,,
490,70,70,70,60,60,60,40,30,30,,,,,,,,,,,,,,,,,,,,,
500,70,70,70,70,60,60,40,30,30,,,,,,,,,,,,,,,,,,,,,
510,70,70,70,70,60,60,40,40,30,,,,,,,,,,,,,,,,,,,,,
520,70,70,70,70,70,60,40,40,30,,,,,,,,,,,,,,,,,,,,,
530,70,70,70,70,70,70,40,40,30,,,,,,,,,,,,,,,,,,,,,
540,80,70,70,70,70,70,40,40,30,,,,,,,,,,,,,,,,,,,,,
550,80,80,70,70,70,70,40,40,30,,,,,,,,,,,,,,,,,,,,,
560,80,80,70,70,70,70,40,40,40,,,,,,,,,,,,,,,,,,,,,
570,80,80,80,70,70,70,40,40,40,,,,,,,,,,,,,,,,,,,,,
580,80,80,80,70,70,70,50,40,40,,,,,,,,,,,,,,,,,,,,,
590,80,80,80,80,70,70,50,40,40,,,,,,,,,,,,,,,,,,,,,
600,80,80,80,80,80,70,50,40,40,,,,,,,,,,,,,,,,,,,,,
610,80,80,80,80,80,80,50,40,40,,,,,,,,,,,,,,,,,,,,,
620,90,80,80,80,80,80,50,40,40,,,,,,,,,,,,,,,,,,,,,
630,90,90,80,80,80,80,50,40,40,,,,,,,,,,,,,,,,,,,,,
640,80,80,70,70,70,70,40,40,30,30,30,30,,,,,,,,,,,,,,,,,,
650,80,80,70,70,70,70,40,40,40,30,30,30,,,,,,,,,,,,,,,,,,
660,80,80,80,70,70,70,40,40,40,30,30,30,,,,,,,,,,,,,,,,,,
670,80,80,80,70,70,70,50,40,40,30,30,30,,,,,,,,,,,,,,,,,,
680,80,80,80,80,70,70,50,40,40,30,30,30,,,,,,,,,,,,,,,,,,
690,80,80,80,80,80,70,50,40,40,30,30,30,,,,,,,,,,,,,,,,,,
700,80,80,80,80,80,70,50,40,40,40,30,30,,,,,,,,,,,,,,,,,,
710,80,80,80,80,80,80,50,40,40,40,30,30,,,,,,,,,,,,,,,,,,
720,90,80,80,80,80,80,50,40,40,40,30,30,,,,,,,,,,,,,,,,,,
730,90,90,80,80,80,80,50,40,40,40,30,30,,,,,,,,,,,,,,,,,,
740,90,90,80,80,80,80,50,50,40,40,30,30,,,,,,,,,,,,,,,,,,
750,90,90,80,80,80,80,50,50,40,40,40,30,,,,,,,,,,,,,,,,,,
760,90,90,90,80,80,80,50,50,40,40,40,30,,,,,,,,,,,,,,,,,,
770,90,90,90,90,80,80,50,50,40,40,40,30,,,,,,,,,,,,,,,,,,
780,90,90,90,90,90,80,50,50,40,40,40,30,,,,,,,,,,,,,,,,,,
790,90,90,90,90,90,90,50,50,40,40,40,30,,,,,,,,,,,,,,,,,,
800,90,90,90,90,90,90,50,50,40,40,40,40,,,,,,,,,,,,,,,,,,
810,90,90,90,90,90,90,60,50,40,40,40,40,,,,,,,,,,,,,,,,,,
820,90,90,90,90,90,90,60,50,50,40,40,40,,,,,,,,,,,,,,,,,,
830,100,90,90,90,90,90,60,50,50,40,40,40,,,,,,,,,,,,,,,,,,
840,100,100,90,90,90,90,60,50,50,40,40,40,,,,,,,,,,,,,,,,,,
850,100,100,100,90,90,90,60,50,50,40,40,40,,,,,,,,,,,,,,,,,,
860,100,100,100,100,90,90,60,50,50,40,40,40,,,,,,,,,,,,,,,,,,
870,100,100,100,100,100,90,60,50,50,40,40,40,,,,,,,,,,,,,,,,,,
880,100,100,100,100,100,90,60,50,50,50,40,40,,,,,,,,,,,,,,,,,,
890,100,100,100,100,100,100,60,50,50,50,40,40,,,,,,,,,,,,,,,,,,
900,100,100,100,100,100,100,60,60,50,50,40,40,,,,,,,,,,,,,,,,,,
910,110,100,100,100,100,100,60,60,50,50,40,40,,,,,,,,,,,,,,,,,,
920,110,110,100,100,100,100,60,60,50,50,40,40,,,,,,,,,,,,,,,,,,
930,110,110,110,100,100,100,60,60,50,50,40,40,,,,,,,,,,,,,,,,,,
940,110,110,110,100,100,100,60,60,50,50,50,40,,,,,,,,,,,,,,,,,,
950,110,110,110,100,100,100,70,60,50,50,50,40,,,,,,,,,,,,,,,,,,
960,110,110,110,110,100,100,70,60,50,50,50,40,,,,,,,,,,,,,,,,,,
970,110,110,110,110,110,100,70,60,50,50,50,40,,,,,,,,,,,,,,,,,,
980,110,110,110,110,110,100,70,60,60,50,50,40,,,,,,,,,,,,,,,,,,
990,110,110,110,110,110,110,70,60,60,50,50,40,,,,,,,,,,,,,,,,,,
1000,110,110,110,110,110,110,70,60,60,50,50,50,,,,,,,,,,,,,,,,,,
1010,120,110,110,110,110,110,70,60,60,50,50,50,,,,,,,,,,,,,,,,,,
1020,120,120,110,110,110,110,70,60,60,50,50,50,,,,,,,,,,,,,,,,,,
1030,120,120,120,110,110,110,70,60,60,50,50,50,,,,,,,,,,,,,,,,,,
1040,120,120,120,120,110,110,70,60,60,50,50,50,,,,,,,,,,,,,,,,,,
1050,120,120,120,120,110,110,70,70,60,50,50,50,,,,,,,,,,,,,,,,,,
1060,120,120,120,120,110,110,70,70,60,60,50,50,,,,,,,,,,,,,,,,,,
1070,120,120,120,120,120,110,70,70,60,60,50,50,,,,,,,,,,,,,,,,,,
1080,120,120,120,120,120,120,70,70,60,60,50,50,,,,,,,,,,,,,,,,,,
1090,120,120,120,120,120,120,80,70,60,60,50,50,,,,,,,,,,,,,,,,,,
1100,130,120,120,120,120,120,80,70,60,60,50,50,,,,,,,,,,,,,,,,,,
1110,130,130,120,120,120,120,80,70,60,60,50,50,,,,,,,,,,,,,,,,,,
1120,130,130,130,120,120,120,80,70,60,60,50,50,,,,,,,,,,,,,,,,,,
1130,130,130,130,120,120,120,80,70,60,60,60,50,,,,,,,,,,,,,,,,,,
1140,130,130,130,130,120,120,80,70,60,60,60,50,,,,,,,,,,,,,,,,,,
1150,130,130,130,130,120,120,80,70,70,60,60,50,,,,,,,,,,,,,,,,,,
1160,130,130,130,130,130,120,80,70,70,60,60,50,,,,,,,,,,,,,,,,,,
1170,130,130,130,130,130,130,80,70,70,60,60,50,,,,,,,,,,,,,,,,,,
1180,140,130,130,130,130,130,80,70,70,60,60,50,,,,,,,,,,,,,,,,,,
1190,140,140,130,130,130,130,80,70,70,60,60,50,,,,,,,,,,,,,,,,,,
1200,140,140,130,130,130,130,80,70,70,60,60,60,,,,,,,,,,,,,,,,,,
1210,140,140,130,130,130,130,80,80,70,60,60,60,,,,,,,,,,,,,,,,,,
1220,140,140,140,130,130,130,80,80,70,60,60,60,,,,,,,,,,,,,,,,,,
1230,140,140,140,130,130,130,90,80,70,60,60,60,,,,,,,,,,,,,,,,,,
1240,140,140,140,130,130,130,90,80,70,70,60,60,,,,,,,,,,,,,,,,,,
1250,140,140,140,140,130,130,90,80,70,70,60,60,,,,,,,,,,,,,,,,,,
1260,140,140,140,140,140,130,90,80,70,70,60,60,,,,,,,,,,,,,,,,,,
1270,140,140,140,140,140,140,90,80,70,70,60,60,,,,,,,,,,,,,,,,,,
1280,150,140,140,140,140,140,90,80,70,70,60,60,,,,,,,,,,,,,,,,,,
1290,150,150,140,140,140,140,90,80,70,70,60,60,,,,,,,,,,,,,,,,,,
1300,150,150,150,140,140,140,90,80,70,70,60,60,,,,,,,,,,,,,,,,,,
1310,150,150,150,140,140,140,90,80,80,70,60,60,,,,,,,,,,,,,,,,,,
1320,150,150,150,140,140,140,90,80,80,70,70,60,,,,,,,,,,,,,,,,,,
1330,150,150,150,150,140,140,90,80,80,70,70,60,,,,,,,,,,,,,,,,,,
1340,150,150,150,150,150,140,90,80,80,70,70,60,,,,,,,,,,,,,,,,,,
1350,150,150,150,150,150,150,90,80,80,70,70,60,,,,,,,,,,,,,,,,,,
1360,150,150,150,150,150,150,90,90,80,70,70,60,,,,,,,,,,,,,,,,,,
1370,150,150,150,150,150,150,100,90,80,70,70,60,,,,,,,,,,,,,,,,,,
1380,160,150,150,150,150,150,100,90,80,70,70,60,,,,,,,,,,,,,,,,,,
1390,160,160,150,150,150,150,100,90,80,70,70,60,,,,,,,,,,,,,,,,,,
1400,160,160,150,150,150,150,100,90,80,70,70,70,,,,,,,,,,,,,,,,,,
1410,140,140,140,140,140,130,90,80,70,70,60,60,50,50,50,,,,,,,,,,,,,,,
1420,140,140,140,140,140,130,90,80,70,70,60,60,60,50,50,,,,,,,,,,,,,,,
1430,140,140,140,140,140,140,90,80,70,70,60,60,60,50,50,,,,,,,,,,,,,,,
1440,150,140,140,140,140,140,90,80,70,70,60,60,60,50,50,,,,,,,,,,,,,,,
1450,150,150,140,140,140,140,90,80,70,70,60,60,60,50,50,,,,,,,,,,,,,,,
1460,150,150,150,140,140,140,90,80,70,70,60,60,60,50,50,,,,,,,,,,,,,,,
1470,150,150,150,140,140,140,90,80,80,70,60,60,60,50,50,,,,,,,,,,,,,,,
1480,150,150,150,140,140,140,90,80,80,70,70,60,60,50,50,,,,,,,,,,,,,,,
1490,150,150,150,140,140,140,90,80,80,70,70,60,60,60,50,,,,,,,,,,,,,,,
1500,150,150,150,150,140,140,90,80,80,70,70,60,60,60,50,,,,,,,,,,,,,,,
1510,150,150,150,150,150,140,90,80,80,70,70,60,60,60,50,,,,,,,,,,,,,,,
1520,150,150,150,150,150,150,90,80,80,70,70,60,60,60,50,,,,,,,,,,,,,,,
1530,150,150,150,150,150,150,90,90,80,70,70,60,60,60,50,,,,,,,,,,,,,,,
1540,150,150,150,150,150,150,100,90,80,70,70,60,60,60,50,,,,,,,,,,,,,,,
1550,160,150,150,150,150,150,100,90,80,70,70,60,60,60,50,,,,,,,,,,,,,,,
1560,160,150,150,150,150,150,100,90,80,70,70,60,60,60,60,,,,,,,,,,,,,,,
1570,160,160,150,150,150,150,100,90,80,70,70,60,60,60,60,,,,,,,,,,,,,,,
1580,160,160,150,150,150,150,100,90,80,70,70,70,60,60,60,,,,,,,,,,,,,,,
1590,160,160,160,150,150,150,100,90,80,70,70,70,60,60,60,,,,,,,,,,,,,,,
1600,160,160,160,150,150,150,100,90,80,80,70,70,60,60,60,,,,,,,,,,,,,,,
1610,160,160,160,160,150,150,100,90,80,80,70,70,60,60,60,,,,,,,,,,,,,,,
1620,160,160,160,160,160,150,100,90,80,80,70,70,60,60,60,,,,,,,,,,,,,,,
1630,160,160,160,160,160,160,100,90,80,80,70,70,60,60,60,,,,,,,,,,,,,,,
1640,170,160,160,160,160,160,100,90,80,80,70,70,60,60,60,,,,,,,,,,,,,,,
1650,170,170,160,160,160,160,100,90,80,80,70,70,60,60,60,,,,,,,,,,,,,,,
1660,170,170,160,160,160,160,100,90,80,80,70,70,70,60,60,,,,,,,,,,,,,,,
1670,170,170,160,160,160,160,100,90,90,80,70,70,70,60,60,,,,,,,,,,,,,,,
1680,170,170,170,160,160,160,100,90,90,80,70,70,70,60,60,,,,,,,,,,,,,,,
1690,170,170,170,160,160,160,110,90,90,80,70,70,70,60,60,,,,,,,,,,,,,,,
1700,170,170,170,160,160,160,110,90,90,80,80,70,70,60,60,,,,,,,,,,,,,,,
1710,170,170,170,160,160,160,110,100,90,80,80,70,70,60,60,,,,,,,,,,,,,,,
1720,170,170,170,170,160,160,110,100,90,80,80,70,70,60,60,,,,,,,,,,,,,,,
1730,170,170,170,170,170,160,110,100,90,80,80,70,70,60,60,,,,,,,,,,,,,,,
1740,170,170,170,170,170,160,110,100,90,80,80,70,70,70,60,,,,,,,,,,,,,,,
1750,170,170,170,170,170,170,110,100,90,80,80,70,70,70,60,,,,,,,,,,,,,,,
1760,180,170,170,170,170,170,110,100,90,80,80,70,70,70,60,,,,,,,,,,,,,,,
1770,180,180,170,170,170,170,110,100,90,80,80,70,70,70,60,,,,,,,,,,,,,,,
1780,180,180,180,170,170,170,110,100,90,80,80,70,70,70,60,,,,,,,,,,,,,,,
1790,180,180,180,170,170,170,110,100,90,90,80,70,70,70,60,,,,,,,,,,,,,,,
1800,180,180,180,170,170,170,110,100,90,90,80,80,70,70,60,,,,,,,,,,,,,,,
1810,180,180,180,180,170,170,110,100,90,90,80,80,70,70,60,,,,,,,,,,,,,,,
1820,180,180,180,180,170,170,110,100,90,90,80,80,70,70,70,,,,,,,,,,,,,,,
1830,180,180,180,180,180,170,110,100,90,90,80,80,70,70,70,,,,,,,,,,,,,,,
1840,180,180,180,180,180,180,110,100,90,90,80,80,70,70,70,,,,,,,,,,,,,,,
