"Name","TID","TIDUnconstructed","InfoTitleTID","InfoTID","InfoTIDUnconstructed","NPCGreetingTID","BeginBuildResource","BeginBuildCost","BuildResource1","BuildCost1","BuildResource2","BuildCost2","BuildResource3","BuildCost3","BuildResource4","BuildCost4","BuildResource5","BuildCost5","BuildingClass","ShopBuildingClass","GroundLayer","IconSWF","XP","SCW","SCWRotated","SCWBase","SCWUnconstructed","SCWConstruction","SCWConstructionExtra","SCWClaim","SCWUiBase","SCWAreaGreen","SCWAreaRed","CollisionShape","Scale","MoveResource","TerrainHoleSize","ColorizeMaterials","MoveCost","TownHallLevel","Width","Height","WalkableBorder","IgnoreAdjacentBuildingSpace","ObstacleGrowthDistance","Icon","MaxStoredFountainBoost","MaxStoredWood","MaxStoredBread","MaxStoredStone","MaxStoredFood","MaxStoredClay","MaxStoredPotionIngredient1","MaxStoredPotionIngredient2","MaxStoredPotionIngredient3","MaxStoredPotionIngredient4","MaxStoredPotionIngredient5","MaxStoredPotionIngredient6","MaxStoredCoins","MaxStoredWool","MaxStoredWheat","MaxStoredBerry","MaxStoredMushroom","MaxStoredEgg","MaxStoredBerryPie","MaxStoredBerryCake","MaxStoredFish","MaxStoredCotton","MaxStoredIndigo","MaxStoredSugar","MaxStoredSalt","MaxStoredSugarApple","MaxStoredHoneyCookie","MaxStoredFishPie","MaxStoredApplePie","MaxStoredCakeRoyale","MaxStoredSaltedFish","MaxStoredSaltPot","MaxStoredHoneyPot","MaxStoredAppleJam","MaxStoredSweetHerring","MaxStoredDyeRed","MaxStoredDyeYellow","MaxStoredDyeBlue","MaxStoredDyeGreen","MaxStoredDyeOrange","MaxStoredDyePurple","MaxStoredDyeRainbow","MaxStoredPlushie","MaxStoredRuneGame","MaxStoredWoodenDuck","MaxStoredMarbles","MaxStoredWoodenDoll","MaxStoredSocks","MaxStoredTrousers","MaxStoredHat","MaxStoredTunic","MaxStoredShirt","MaxStoredDress","MaxStoredJacket","MaxStoredRainbowSuit","MaxStoredFigurine","MaxStoredPottery","MaxStoredStatuette","MaxStoredAppleJuice","MaxStoredFlour","MaxStoredHoney","MaxStoredApple","MaxStoredCarrot","StartingResourcePercent","StartingPotionIngredient1","StartingPotionIngredient2","StartingPotionIngredient3","StartingPotionIngredient4","StartingPotionIngredient5","StartingPotionIngredient6","Profession","MaxWorkers","MaxAutomaticallyProducedResources","ProducesResource","ResourceBatchSeconds","ResourceBatchSize","ResourceMax","InputResource","InputResourceType","InputPerBatch","HarvestResource","WorkPos1","WorkAnim1","WorkPos2","WorkAnim2","PickUpEffect","PlacingEffect","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","AmountCanBeUpgraded","Workers","SpawnResourceData","SpawnResourcePlantSeconds","SpawnResourceAverageSeconds","SpawnResourceHarvestSeconds","SpawnCount","SpawnPos1","SpawnSCW1","SpawnPos2","SpawnSCW2","SpawnPos3","SpawnSCW3","SpawnPos4","SpawnSCW4","SpawnPos5","SpawnSCW5","SpawnPos6","SpawnSCW6","SpawnPos7","SpawnSCW7","SpawnPos8","SpawnSCW8","SpawnPos9","SpawnSCW9","Passable","SpeedPercentage","RandomDirection","RandomYaw","RandomPitch","RandomScale","RandomBaseDirection","RandomBaseYaw","StoredResourceNodePrefix","StoredResourceNode2Prefix","StoredResourceGfxSCW","StoredResourceCountPerObject","RequestAmount","RequestExpiryMinutes","RequestCooldownMinutes","DonationLimit","DonationMoveSpeed","DonationCooldownSeconds","ConstantEffect","VillageTaskProvider","VillageTaskFulfiller","EffectActivePos","EffectActiveName","EffectBoostPos","EffectBoostName","EffectBoostScalePercent","ForceNonInteractive","NPC","NPCPlacement","CanBeBatched","IconCameraZoom","IconCameraY","SpawnAnimal","UIBackgroundExportName","LocationSound","UpgradeSignX","UpgradeSignY","UpgradeSignZ","UpgradeSignScale","AnimationAlwaysOn","TouchEffect","IsTaskFulfiller","PremiumTradePartner","ValleyLODScale","ValleyLODMoveFactor"
"String","String","String","String","String","String","String","String","int","String","int","String","int","String","int","String","int","String","int","String","String","boolean","String","int","String","String","String","String","String","String","String","String","String","String","String","int","String","int","String","int","int","int","int","int","boolean","int","String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","String","int","int","String","int","int","int","String","String","int","String","String","String","String","String","String","String","int","int","int","int","int","int","int","int","String","int","int","int","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","boolean","int","boolean","int","int","int","boolean","int","String","String","String","int","int","int","int","int","int","int","String","boolean","boolean","String","String","String","String","int","boolean","String","String","boolean","int","int","String","String","String","int","int","int","int","boolean","String","boolean","boolean","int","int"
"Town Hall","TID_BUILDING_VILLAGE_KITCHEN",,"TID_INFO_TITLE_VILLAGE_KITCHEN","TID_BUILDING_VILLAGE_KITCHEN_INFO",,,"Coins",0,"Wood",1,,,,,,,,,"Town Hall",,,,1,"sc3d/bldv_villagesquare_lv1_geo.glb",,"sc3d/bldv_base_key_4x4.glb",,"sc3d/bldv_construction_village_square_geo.glb",,"sc3d/bldv_construction_{w}x{w}_geo.glb#bldv_construction_state_5_geo","sc3d/ui_base_{w}x{w}_geo.glb",,,"TownSquare",100,,0,,,,4,4,1,"false",2,,10000,,0,,5,,,,,,,,3000,,10,10,10,10,3,3,10,,,10,10,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up","Generic Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,"true",,"product_","plate_",,,,,,,,,,"false",,"pos_effect_soup","SoupPot",,,,,,,"true",523,0,,,"Tap_Village_Square",0,0,0,100,"true","Tap_village_kitchen_soup",,,0,0
,,,,,,,"Coins",40,"Wood",5,,,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv2_geo.glb",,,,,"sc3d/bldv_construction_upgrade_{w}x{w}_geo.glb",,,,,,,,,,,,,,,,,,10000,,5,,10,,,,,,,,3000,,20,20,20,20,5,5,20,,,20,20,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,
,,,,,,,"Coins",310,"Wood",45,,,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv3_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,8,,20,,,,,,,,3000,,30,30,30,30,8,8,30,,,30,30,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,
,,,,,,,"Coins",770,"Clay",95,,,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv4_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,10,,40,,,,,,,,3000,,40,40,40,40,10,10,40,,,40,40,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,
,,,,,,,"Coins",2200,"Clay",240,"Wood",200,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv5_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,15,,60,,,,,,,,3000,,60,60,60,60,15,15,60,,,60,60,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,60,60,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,
,,,,,,,"Coins",2700,"Wood",350,"Stone",200,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv6_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,20,,80,,,,,,,,3000,,80,80,80,80,20,20,80,,,80,80,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,80,80,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,
,,,,,,,"Coins",3150,"Stone",300,"Wood",280,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv7_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,25,,100,,,,,,,,3000,,100,100,100,100,25,25,100,,,100,100,25,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,
,,,,,,,"Coins",6450,"Stone",580,"Brick",230,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv8_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,30,,120,,,,,,,,3000,,120,120,120,120,30,30,120,,,120,120,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,120,120,120,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,
,,,,,,,"Coins",7500,"Stone",630,"Brick",250,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv9_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,35,,140,,,,,,,,3000,,140,140,140,140,35,35,140,,,140,140,35,35,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,140,140,140,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,
