"Name","TID","NPC","Cart","Scale","CollisionShape","SpawnToBuilding","SpawnToObstacle","SpawnToNation","MaxCompletions","CooldownSeconds","MinNationLevel","MaxNationLevel","BuildingNeeded","BuildingLevelNeeded","TechNeeded","OtherChallengeNeeded","OtherChallengeStagesCompleteNeeded","Stage","AvailableTID","AvailableSCW","AvailableIconSWF","AvailableIconExportName","AvailableSeconds","AvailableBGExportName","ActiveTID","ActiveSCW","ActiveIconSWF","ActiveIconExportName","ActiveSeconds","ActiveBGExportName","TaskCount","CoinTaskMinPercentage","CoinTaskMaxPercentage","RequiredAmountPercentage","CoinRewardSizePercentage","KnowledgeRewardSizePercentage","ReputationRewardSizePercentage","ResourceOrTag1","ResourceOrTag2","ResourceOrTag3","WorkerJobSeconds","WorkerJobTID","WorkerJobBGExportName","WorkerJobProfession","WorkerJobRewardData1","WorkerJobRewardAmount1","WorkerJobRewardData2","WorkerJobRewardAmount2","WorkerJobRewardReputation","WorkerJobRewardNationKnowledge","WinTID","WinSCW","WinIconSWF","WinIconExportName","WinBGExportName","LoseTID","LoseSCW","LoseIconSWF","LoseIconExportName","LoseBGExportName","ReviewSeconds","RewardPerk","RewardPerkSeconds","RewardNationKnowledge"
"String","String","String","String","int","String","String","String","String","int","int","int","int","String","int","String","String","int","int","String","String","String","String","int","String","String","String","String","String","int","String","int","int","int","int","int","int","int","String","String","String","int","String","String","String","String","int","String","int","int","int","String","String","String","String","String","String","String","String","String","String","int","String","int","int"
"Challenge001_ValleyFeast","TID_CHALLENGE001_VALLEYFEAST_TITLE","Baker","ChallengeCart",100,"Academy",,,"ChallengeSiteBakery",,1209600,4,,"NationCannery",1,,,,1,"TID_CHALLENGE001_VALLEYFEAST_INTRO","sc3d/valley_event_great_feast.glb#start","sc/npc_characters.sc","emote_baker_wave",259200,"bg_image_valley_festival","TID_CHALLENGE001_VALLEYFEAST_STAGE1","sc3d/valley_event_great_feast.glb#stage_1","sc/npc_characters.sc","emote_baker_idle",86400,"bg_image_valley_festival",21,100,100,80,100,100,100,"FoodCrafted",,,,,,,,,,,,,"TID_CHALLENGE001_VALLEYFEAST_WIN","sc3d/valley_event_great_feast.glb#stage_4","sc/npc_characters.sc","emote_baker_wave","bg_image_valley_festival","TID_CHALLENGE001_VALLEYFEAST_LOSE_STAGE1","sc3d/valley_event_great_feast.glb#start","sc/npc_characters.sc","emote_baker_wave","bg_image_valley_festival",86400,"NoHunger",86400,
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE001_VALLEYFEAST_STAGE2","sc3d/valley_event_great_feast.glb#stage_2","sc/npc_characters.sc","emote_baker_idle",86400,"bg_image_valley_festival",30,100,100,80,100,100,100,"FoodCrafted",,,,,,,,,,,,,,,,,,"TID_CHALLENGE001_VALLEYFEAST_LOSE_STAGE2","sc3d/valley_event_great_feast.glb#start","sc/npc_characters.sc","emote_baker_wave","bg_image_valley_festival",,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,"TID_CHALLENGE001_VALLEYFEAST_STAGE3","sc3d/valley_event_great_feast.glb#stage_3","sc/npc_characters.sc","emote_baker_idle",86400,"bg_image_valley_festival",24,100,100,80,100,100,100,"FoodCrafted",,,,,,,,,,,,,,,,,,"TID_CHALLENGE001_VALLEYFEAST_LOSE_STAGE3","sc3d/valley_event_great_feast.glb#start","sc/npc_characters.sc","emote_baker_wave","bg_image_valley_festival",,,,
"Challenge002_Shipwreck","TID_CHALLENGE002_SHIPWRECK_TITLE","HarbourMaster","ChallengeCart",100,"Academy",,,"ChallengeSiteShipwreck4",,1209600,4,,,,,,,1,"TID_CHALLENGE002_SHIPWRECK_INTRO","sc3d/valley_event_shipwreck.glb#ship_broken","sc/npc_characters.sc","emote_harbor_master_wave",259200,"bg_image_valley_event_shipwreck_1","TID_CHALLENGE002_SHIPWRECK_STAGE1","sc3d/valley_event_shipwreck.glb#ship_broken","sc/npc_characters.sc","emote_harbor_master_idle",86400,"bg_image_valley_event_shipwreck_1",21,100,100,80,100,100,100,"Wood","Plank",,,,,,,,,,,,"TID_CHALLENGE002_SHIPWRECK_WIN","sc3d/valley_event_shipwreck.glb#ship_fixed","sc/npc_characters.sc","emote_harbor_master_wave","bg_image_valley_event_shipwreck_1","TID_CHALLENGE002_SHIPWRECK_LOSE_STAGE1","sc3d/valley_event_shipwreck.glb#ship_broken","sc/npc_characters.sc","emote_harbor_master_wave","bg_image_valley_event_shipwreck_1",86400,,,500
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE002_SHIPWRECK_STAGE2","sc3d/valley_event_shipwreck.glb#ship_float","sc/npc_characters.sc","emote_harbor_master_idle",86400,"bg_image_valley_event_shipwreck_1",,,,,,,,,,,43200,"TID_CHALLENGE002_SHIPWRECK_STAGE2_JOB_01","bg_image_valley_construction","Builder","Coins",418,,,31,,,,,,,"TID_CHALLENGE002_SHIPWRECK_LOSE_STAGE2","sc3d/valley_event_shipwreck.glb#ship_broken","sc/npc_characters.sc","emote_harbor_master_wave","bg_image_valley_event_shipwreck_1",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200,"TID_CHALLENGE002_SHIPWRECK_STAGE2_JOB_02","bg_image_valley_construction","Builder","Coins",418,,,31,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE002_SHIPWRECK_STAGE2_JOB_03","bg_image_valley_construction","Builder","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE002_SHIPWRECK_STAGE2_JOB_04","bg_image_valley_construction","Builder","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE002_SHIPWRECK_STAGE2_JOB_05","bg_image_village_resource_wood","Lumberjack","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE002_SHIPWRECK_STAGE2_JOB_06","bg_image_village_resource_wood","Lumberjack","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,"TID_CHALLENGE002_SHIPWRECK_STAGE3","sc3d/valley_event_shipwreck.glb#ship_fixed",,,86400,"bg_image_valley_event_shipwreck_1",18,100,100,80,100,100,100,"FoodCrafted","ClothesCrafted","CraftsCrafted",,,,,,,,,,,,,,,,"TID_CHALLENGE002_SHIPWRECK_LOSE_STAGE3","sc3d/valley_event_shipwreck.glb#ship_broken","sc/npc_characters.sc","emote_harbor_master_wave","bg_image_valley_event_shipwreck_failed",,,,
"Challenge003_SheepEscape","TID_CHALLENGE003_SHEEPESCAPE_TITLE","Shepherd","ChallengeCart",100,"Academy",,,"ChallengeSiteSheepPasture",,1209600,2,,,,,,,1,"TID_CHALLENGE003_SHEEPESCAPE_INTRO","sc3d/valley_event_sheep_escape.glb#stage1","sc/npc_characters.sc","emote_shepherd_wave",259200,"bg_image_valley_event_lost_sheep_3","TID_CHALLENGE003_SHEEPESCAPE_STAGE1","sc3d/valley_event_sheep_escape.glb#stage1","sc/npc_characters.sc","emote_shepherd_idle",86400,"bg_image_valley_event_lost_sheep_3",18,100,100,80,100,100,100,"ConstructionBasic","Clay","Plank",,,,,,,,,,,"TID_CHALLENGE003_SHEEPESCAPE_WIN","sc3d/valley_event_sheep_escape.glb#stage4","sc/npc_characters.sc","emote_shepherd_wave","bg_image_valley_event_lost_sheep_3","TID_CHALLENGE003_SHEEPESCAPE_LOSE_STAGE1","sc3d/valley_event_sheep_escape.glb#stage1","sc/npc_characters.sc","emote_shepherd_wave","bg_image_valley_event_lost_sheep_3",86400,"FasterSheepPasture",86400,
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE003_SHEEPESCAPE_STAGE2","sc3d/valley_event_sheep_escape.glb#stage2","sc/npc_characters.sc","emote_shepherd_idle",86400,"bg_image_valley_event_lost_sheep_3",,,,,,,,,,,43200,"TID_CHALLENGE003_SHEEPESCAPE_STAGE2_JOB_01","bg_image_valley_construction","Builder","Coins",418,,,31,,,,,,,"TID_CHALLENGE003_SHEEPESCAPE_LOSE_STAGE2","sc3d/valley_event_sheep_escape.glb#stage2","sc/npc_characters.sc","emote_shepherd_wave","bg_image_valley_event_lost_sheep_3",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200,"TID_CHALLENGE003_SHEEPESCAPE_STAGE2_JOB_02","bg_image_valley_construction","Builder","Coins",418,,,31,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE003_SHEEPESCAPE_STAGE2_JOB_03","bg_image_valley_construction","Builder","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE003_SHEEPESCAPE_STAGE2_JOB_04","bg_image_village_resource_clay","Claydigger","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE003_SHEEPESCAPE_STAGE2_JOB_05","bg_image_village_resource_wood","Lumberjack","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE003_SHEEPESCAPE_STAGE2_JOB_06","bg_image_village_resource_wood","Lumberjack","Coins",139,,,10,,,,,,,,,,,,,,,
