"Name","TID"
"String","String"
"Authenticated",
"TosSeen",
"TosAccepted",
"ServiceLoginStarted",
"ServiceLoginCompleted",
"TutorialTextSeen",
"AdvisorOpened",
"BuildingMenuTouched",
"BuildingDragged",
"BuildingPlaced",
"BuildingMenuOpened",
"WorkerMenuOpened",
"WorkerAssignedToSite",
"SeenCompletedBuilding",
"ChooseNewWorkerOpened",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"ClaimLibrary",
"ClaimClayStorage",
"ClaimChickenCoop",
"ClayPitRestore",
"EvergroveRestore",
"ClaimFigurineWorkshop",
,
,
,
,
"ClaimNationTech",
"EnterNamePre",
"EnterName",
"EnterNameSuccess",
,
"JoinNation",
"JoinedNationA",
"JoinedNationB",
"JoinedNationC",
"JoinedNationD",
,
"IntroSheepPastureA",
,
"IntroNationTailorA",
"IntroNationTailorB",
,
"IntroNationHarbourA",
"IntroNationHarbourB",
,
"IntroNationLibraryA",
,
"IntroWheatFieldA",
,
"IntroNationBakeryA",
,
"IntroNationPotionMakerA",
,
"IntroNationBoatSite1A",
"IntroNationBoatSite2A",
,
,
"IntroReputation",
