"Name","PlacementNode"
"String","string"
"ChallengeSiteShipwreck1","sc3d/valley_event_nodes.glb#event_shipwreck_1"
"ChallengeSiteShipwreck2","sc3d/valley_event_nodes.glb#event_shipwreck_2"
"ChallengeSiteShipwreck3","sc3d/valley_event_nodes.glb#event_shipwreck_3"
"ChallengeSiteShipwreck4","sc3d/valley_event_nodes.glb#event_shipwreck_4"
"ChallengeSiteGreatLibrary","sc3d/valley_event_nodes.glb#event_building_greatlibrary"
"ChallengeSiteBakery","sc3d/valley_event_nodes.glb#event_building_bakery"
"ChallengeSitePreservery","sc3d/valley_event_nodes.glb#event_building_preservery"
"ChallengeSitePotionMaker","sc3d/valley_event_nodes.glb#event_building_potionmaker"
"ChallengeSiteHarbor","sc3d/valley_event_nodes.glb#event_building_harbor"
"ChallengeSiteToyWorkshop","sc3d/valley_event_nodes.glb#event_building_toyworkshop"
"ChallengeSiteDyeWorkshop","sc3d/valley_event_nodes.glb#event_building_dyeworkshop"
"ChallengeSiteGrandMonument","sc3d/valley_event_nodes.glb#event_building_grandmonument"
"ChallengeSiteWheatField","sc3d/valley_event_nodes.glb#event_building_wheatfield"
"ChallengeSiteIndigoField","sc3d/valley_event_nodes.glb#event_building_indigofield"
"ChallengeSiteSugarField","sc3d/valley_event_nodes.glb#event_building_sugarfield"
"ChallengeSiteCottonField","sc3d/valley_event_nodes.glb#event_building_cottonfield"
"ChallengeSiteSaltField","sc3d/valley_event_nodes.glb#event_building_saltfield"
"ChallengeSiteSheepPasture","sc3d/valley_event_nodes.glb#event_building_sheeppasture"
"ChallengeSiteFishingHut","sc3d/valley_event_nodes.glb#event_building_fishinghut"
"ChallengeSiteClayDiggerGuild","sc3d/valley_event_nodes.glb#event_building_claydiggerguild"
"ChallengeSiteResearcherGuild","sc3d/valley_event_nodes.glb#event_building_researcherguild"
"ChallengeSiteFarmerGuild","sc3d/valley_event_nodes.glb#event_building_farmerguild"
"ChallengeSiteStoneMasonGuild","sc3d/valley_event_nodes.glb#event_building_stonemasonguild"
"ChallengeSiteBuilderGuild","sc3d/valley_event_nodes.glb#event_building_builderguild"
"ChallengeSiteWoodcutterGuild","sc3d/valley_event_nodes.glb#event_building_woodcutterguild"
"ChallengeSiteDesert1","sc3d/valley_event_nodes.glb#event_desert_1"
"ChallengeSiteDesert2","sc3d/valley_event_nodes.glb#event_desert_2"
"ChallengeSiteDesert3","sc3d/valley_event_nodes.glb#event_desert_3"
"ChallengeSiteDesert4","sc3d/valley_event_nodes.glb#event_desert_4"
"ChallengeSiteMountain1","sc3d/valley_event_nodes.glb#event_mountain_1"
"ChallengeSiteMountain2","sc3d/valley_event_nodes.glb#event_mountain_2"
"ChallengeSiteMountain3","sc3d/valley_event_nodes.glb#event_mountain_3"
"ChallengeSiteMountain4","sc3d/valley_event_nodes.glb#event_mountain_4"
"ChallengeSiteRiver1","sc3d/valley_event_nodes.glb#event_river_1"
"ChallengeSiteRiver2","sc3d/valley_event_nodes.glb#event_river_2"
"ChallengeSiteRiver3","sc3d/valley_event_nodes.glb#event_river_3"
"ChallengeSiteRiver4","sc3d/valley_event_nodes.glb#event_river_4"
"ChallengeSiteGrass1","sc3d/valley_event_nodes.glb#event_grass_1"
"ChallengeSiteGrass2","sc3d/valley_event_nodes.glb#event_grass_2"
"ChallengeSiteGrass3","sc3d/valley_event_nodes.glb#event_grass_3"
"ChallengeSiteGrass4","sc3d/valley_event_nodes.glb#event_grass_4"
"ChallengeSiteTailor","sc3d/valley_event_nodes.glb#event_building_tailor"
"ChallengeSiteBeach1","sc3d/valley_event_nodes.glb#event_beach_1"
