"Type","ExpLevel","Column1","Column2","Column3","Column4"
"string","int","string","string","string","string"
"Tech",10,"FarmerAcademyLevel10","ResearchAcademyLevel10","ConstructionAcademyLevel10",
"Link",10,"|","|","|",
"Tech",10,"|","|","|",
"Link",10,"|","|","|",
"Tech",10,"LumberjackAcademyLevel10","StonemasonAcademyLevel10","ClaydiggerAcademyLevel10",
"Link",10,"|","|","|",
"Tech",10,"|","|","|",
"Link",10,"|","|","|",
"Tech",10,"StonemasonAcademyLevel9","ConstructionAcademyLevel9","LumberjackAcademyLevel9",
"Link",10,"|","|","|",
"Tech",9,"ClaydiggerAcademyLevel9","FarmerAcademyLevel9","ResearchAcademyLevel9",
"Link",9,"|","|","|",
"Tech",9,"|","|","|",
"Link",9,"|","|","|",
"Tech",9,"ResearchAcademyLevel8","ConstructionAcademyLevel8","ClaydiggerAcademyLevel8",
"Link",9,"|","|","|",
"Tech",9,"|","|","|",
"Link",9,"|","|","|",
"Tech",9,"LumberjackAcademyLevel8","StonemasonAcademyLevel8","FarmerAcademyLevel8",
"Link",9,"|-","_|_","_|",
"Tech",8,"ToyWorkshopLevel3",,,
"Link",8,"|",,,
"Tech",8,"|",,,
"Link",8,"|",,,
"Tech",8,"StonemasonAcademyLevel7","ToyWorkshopLevel2","DyeShopLevel3",
"Link",8,"|","|","|",
"Tech",8,"|","|","|",
"Link",8,"|","|","|",
"Tech",8,"ClaydiggerAcademyLevel7","FarmerAcademyLevel7","LumberjackAcademyLevel7",
"Link",8,"|","|","|",
"Tech",7,"ConstructionAcademyLevel7","DyeShopLevel2","ResearchAcademyLevel7",
"Link",7,"|","|","|",
"Tech",7,"|","|","|",
"Link",7,"|","|","|",
"Tech",7,"StonemasonAcademyLevel6","LumberjackAcademyLevel6","ConstructionAcademyLevel6",
"Link",7,"|_","-|","|",
"Tech",7,,"ToyWorkshopCount1","|",
"Link",7,,"|","|",
"Tech",7,,"ConstructionAcademyLevel5","ClaydiggerAcademyLevel6",
"Link",7,,"|-","_|",
"Tech",6,"StonemasonAcademyLevel5","IndigoFieldCount1",,
"Link",6,"|","|",,
"Tech",6,"ConstructionAcademyLevel4","DyeShopCount1","FarmerAcademyLevel6",
"Link",6,"|-","_|","|",
"Tech",6,"LumberjackAcademyLevel5",,"StonemasonAcademyLevel4",
"Link",6,"|",,"|",
"Tech",6,"ClaydiggerAcademyLevel5","CanneryLevel3","ResearchAcademyLevel6",
"Link",6,"|","|","|",
"Tech",6,"|","LumberjackAcademyLevel4","ConstructionAcademyLevel3",
"Link",6,"|","|","|",
"Tech",6,"ResearchAcademyLevel5","ClaydiggerAcademyLevel4","TailorLevel3",
"Link",6,"|_","-|-","_|",
"Tech",5,"ConstructionAcademyLevel2","FarmerAcademyLevel5",,
"Link",5,"|","|",,
"Tech",5,"ClaydiggerAcademyLevel3","|","NationPotionMakerLevel3","BakeryLevel3"
"Link",5,"|","|","|","|"
"Tech",5,"CanneryLevel2","StonemasonAcademyLevel3","ResearchAcademyLevel4","FarmerAcademyLevel4"
"Link",5,"|_","-|","|","|"
"Tech",5,,"ConstructionAcademyCount1","StonemasonAcademyLevel2","FishingSpotCount1"
"Link",5,,"|","|","|"
"Tech",4,,"|","ResearchAcademyLevel3","|"
"Link",4,,"|","|","|"
"Tech",4,,"ResearchAcademyLevel2","LumberjackAcademyLevel3","SugarFieldCount1"
"Link",4,,"|","|","|"
"Tech",4,"ClaydiggerAcademyLevel2","|","StonemasonAcademyCount1","FarmerAcademyLevel3"
"Link",4,"|","|-","_|_","_|"
"Tech",4,"ClaydiggerAcademyCount1","ResearchAcademyCount1",,
"Link",4,"|","|",,
"Tech",3,"|","CanneryCount1",,
"Link",3,"|","|",,
"Tech",3,"LumberjackAcademyLevel2","|","SaltFieldCount1",
"Link",3,"|","|","|",
"Tech",3,"|","NationPotionMakerLevel2","FarmerAcademyLevel2",
"Link",3,"|","|","|",
"Tech",3,"LumberjackAcademyCount1","TradeRelations","FarmerAcademyCount1",
"Link",3,"|_","-|","|",
"Tech",2,"CottonFieldCount1","NationMonument01Count1","BakeryLevel2",
"Link",2,"|","|-","_|",
"Tech",2,"|","|",,
"Link",2,"|","|",,
"Tech",2,"TailorLevel2","NationPotionMakerCount1",,
"Link",2,"|_","-|",,
"Tech",1,,"BakeryCount1",,
"Link",1,,"|",,
"Tech",1,,"|",,
"Link",1,,"|",,
"Tech",1,,"WheatFieldCount1",,
