"Name","TID","TIDAggregated","EnabledByDefault","Aggregate","MinDelayMinutes","TriggerVillageEvent","TriggerNationEvent","AndroidChannel","OnlyShowFirst","OnlyShowLast","ShowOnHUD","NotificationChannel"
"String","String","String","Boolean","Boolean","int","String","String","String","boolean","boolean","boolean","String"
"ComeBackSmall","TID_COME_BACK_NOTIFICATION_SMALL",,"TRUE",,2880,,,,,,,"General"
"ComeBackMedium","TID_COME_BACK_NOTIFICATION_MEDIUM",,"TRUE",,7200,,,,,,,"General"
"ComeBackLarge","TID_COME_BACK_NOTIFICATION_LARGE",,"TRUE",,20160,,,,,,,"General"
"VillageBuildingConstructed","TID_EVENT_BUILDING_CONSTRUCTION_DONE",,"TRUE",,,"BUILDING_CONSTRUCTED",,,,,"TRUE","Village"
"VillageBuildingUpgraded","TID_EVENT_BUILDING_UPGRADE_DONE",,"TRUE",,,"BUILDING_UPGRADED",,,,,"TRUE","Village"
"VillageBuildingMoved","TID_EVENT_BUILDING_MOVE_DONE",,"FALSE",,,"BUILDING_MOVED",,,,,,"Village"
"VillageObstacleHarvested","TID_EVENT_OBSTACLE_HARVESTED",,"FALSE",,,"OBSTACLE_HARVESTED",,,,,,"Village"
"VillageResearchCompleted","TID_EVENT_RESEARCH_COMPLETED",,"TRUE",,,"LIBRARY_RESEARCH_COMPLETED",,,,,,"Village"
"VillageBoostDeactivated","TID_EVENT_BOOST_DEACTIVATED",,"FALSE",,,"BOOST_DEACTIVATED",,,,,,"Village"
"VillageBoostFull","TID_EVENT_BOOST_FULL",,"FALSE",,,"BOOST_FULL",,,,,,"Village"
"VillageWorkerBecameIdle","TID_EVENT_WORKER_IDLE","TID_EVENT_WORKERS_IDLE","TRUE","TRUE",30,"WORKER_IDLE",,,,,,"Village"
"VillageAllWorkersIdle",,,"FALSE",,,,,,,"TRUE","TRUE","Village"
"VillageWorkSiteBlocked","TID_EVENT_WORKER_BLOCKED",,"FALSE",,,"WORKSITE_BLOCKED",,,,"TRUE",,"Village"
"VillageAllWorkersBlocked",,,"FALSE",,,,,,,"TRUE","TRUE","Village"
"VillageWorkersHungry","TID_NOTIFICATION_FOOD_RAN_OUT",,"TRUE",,,,,,,"TRUE",,"Village"
"ValleyKicked","TID_STREAM_EVENT_KICKED",,"TRUE",,,,"KICKED",,,,,"Valley"
"ValleyJoined","TID_STREAM_EVENT_JOINED",,"TRUE",,,,"JOINED",,,,,"Valley"
"ValleyLeft","TID_STREAM_EVENT_LEFT",,"TRUE",,,,"LEFT",,,,,"Valley"
