"Name","TID","InfoTID","SCW","SCWLod2","SCWLod3","BaseSCW","GrowingSCW","CollisionShape","Scale","ClearTimeSeconds","ClearXP","Width","Height","Passable","SubObjects","SubObjectX","SubObjectY","AutoGrow","GrowthTime","RespawnNeighbor","ClearResource","ClearCost","LootResource","LootCount","ClearEffect","PickUpEffect","SpawnWeight","RespawnWeight","ClearOnTouch","ClearGroup","LootMultiplierForVersion2","AppearancePeriodHours","MinRespawnTimeHours","SpawnResourceData","SpawnResourcePlantSeconds","SpawnResourceAverageSeconds","SpawnResourceHarvestSeconds","SpawnCount","LootDefensePercentage","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","LightsOn","VillageType","Village2RespawnCount","VariationCount","TallGrass","TallGrassSpawnPoint","HarvestCount","InfiniteHarvest","HarvestTimeScale","HarvestResource","HarvestAmount","HarvestTime","HarvestProfession","HarvestLeftovers","RandomYaw","RandomPitch","RandomScale","FallAnimation","SpawnSpirit","HideInValleyLod","UIBackgroundExportName","TouchEffect","Deprecated"
"String","String","String","String","String","String","String","String","String","int","int","int","int","int","boolean","String","int","int","boolean","int","String","String","int","String","int","String","String","int","int","boolean","int","int","int","int","String","int","int","int","int","int","int","int","int","int","int","int","boolean","int","int","int","boolean","boolean","int","boolean","int","String","int","int","String","String","int","int","int","boolean","boolean","boolean","String","String","boolean"
"Trees_pine_large","TID_OBSTACLE_TREE_MEDIUM","TID_OBSTACLE_FOREST_INFO","sc3d/envp_trees_pine_large_geo.glb#lod1","sc3d/envp_trees_pine_large_geo.glb#lod2","sc3d/envp_trees_pine_large_geo.glb#lod3",,,"obs_Trees_pine_large",100,,,1,1,"false",,,,,,"Tree",,,,,,"Tap_tree",0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Wood",2,30,"Lumberjack","Stump_2x2",0,1,15,"true","true",,"bg_image_village_resource_wood",,
"Trees_pine_med","TID_OBSTACLE_TREE_MEDIUM","TID_OBSTACLE_FOREST_INFO","sc3d/envp_trees_pine_med_geo.glb#lod1","sc3d/envp_trees_pine_med_geo.glb#lod2","sc3d/envp_trees_pine_med_geo.glb#lod3",,,"obs_Trees_pine_med",100,,,1,1,"false",,,,,,"Tree",,,,,,"Tap_tree",0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Wood",2,30,"Lumberjack","Stump_2x2",0,1,15,"true","true",,"bg_image_village_resource_wood",,
"Trees_pine_small","TID_OBSTACLE_TREE_MEDIUM","TID_OBSTACLE_FOREST_INFO","sc3d/envp_trees_pine_small_geo.glb#lod1","sc3d/envp_trees_pine_small_geo.glb#lod2","sc3d/envp_trees_pine_small_geo.glb#lod3",,,"obs_Trees_pine_small",100,,,1,1,"false",,,,,,"Tree",,,,,,"Tap_tree",0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Wood",2,30,"Lumberjack","Stump_2x2",0,1,15,"true","true",,"bg_image_village_resource_wood",,
"Trees_round_huge","TID_OBSTACLE_TREE_MEDIUM","TID_OBSTACLE_FOREST_INFO","sc3d/envp_trees_round_huge_geo.glb#lod1","sc3d/envp_trees_round_huge_geo.glb#lod2","sc3d/envp_trees_round_huge_geo.glb#lod3",,,"obs_Trees_round_huge",100,,,1,1,"false",,,,,,"Tree",,,,,,"Tap_tree",0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Wood",2,30,"Lumberjack","Stump_2x2",0,1,15,"true","true",,"bg_image_village_resource_wood",,
"Trees_round_large","TID_OBSTACLE_TREE_MEDIUM","TID_OBSTACLE_FOREST_INFO","sc3d/envp_trees_round_large_geo.glb#lod1","sc3d/envp_trees_round_large_geo.glb#lod2","sc3d/envp_trees_round_large_geo.glb#lod3",,,"obs_Trees_round_large",100,,,1,1,"false",,,,,,"Tree",,,,,,"Tap_tree",0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Wood",2,30,"Lumberjack","Stump_2x2",0,1,15,"true","true",,"bg_image_village_resource_wood",,
"Trees_round_med","TID_OBSTACLE_TREE_MEDIUM","TID_OBSTACLE_FOREST_INFO","sc3d/envp_trees_round_med_geo.glb#lod1","sc3d/envp_trees_round_med_geo.glb#lod2","sc3d/envp_trees_round_med_geo.glb#lod3",,,"obs_Trees_round_med",100,,,1,1,"false",,,,,,"Tree",,,,,,"Tap_tree",0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Wood",2,30,"Lumberjack","Stump_2x2",0,1,15,"true","true",,"bg_image_village_resource_wood",,
"Trees_round_small","TID_OBSTACLE_TREE_MEDIUM","TID_OBSTACLE_FOREST_INFO","sc3d/envp_trees_round_small_geo.glb#lod1","sc3d/envp_trees_round_small_geo.glb#lod2","sc3d/envp_trees_round_small_geo.glb#lod3",,,"obs_Trees_round_small",100,,,1,1,"false",,,,,,"Tree",,,,,,"Tap_tree",0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Wood",2,30,"Lumberjack","Stump_2x2",0,1,15,"true","true",,"bg_image_village_resource_wood",,
"Trees_sap_large","TID_OBSTACLE_TREE_MEDIUM","TID_OBSTACLE_FOREST_INFO","sc3d/envp_trees_sap_large_geo.glb#lod1","sc3d/envp_trees_sap_large_geo.glb#lod2","sc3d/envp_trees_sap_large_geo.glb#lod3",,,"obs_Trees_sap_large",100,,,1,1,"false",,,,,,"Tree",,,,,,"Tap_tree",0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Wood",2,30,"Lumberjack","Stump_2x2",0,1,15,"true","true",,"bg_image_village_resource_wood",,
"Trees_sap_med","TID_OBSTACLE_TREE_MEDIUM","TID_OBSTACLE_FOREST_INFO","sc3d/envp_trees_sap_med_geo.glb#lod1","sc3d/envp_trees_sap_med_geo.glb#lod2","sc3d/envp_trees_sap_med_geo.glb#lod3",,,"obs_Trees_sap_med",100,,,1,1,"false",,,,,,"Tree",,,,,,"Tap_tree",0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Wood",2,30,"Lumberjack","Stump_2x2",0,1,15,"true","true",,"bg_image_village_resource_wood",,
