"Name","TID","TID_Info","Enabled","OfferGroup","OfferTag1","OfferTag2","Context","ActiveWeekday","WeekdayCycleLength","IntervalLength","IntervalActiveOffset","IntervalActiveLength","OfferSelectType","NumOffers","IconDefault","HideOfferWhenPurchased"
"String","String","String","boolean","String","String","String","String","String","int","Int","int","Int","String","int","String","boolean"
"WeekdayFreebie",,,"TRUE","DailyOffers","DailyOffers_Freebie",,"Village","1;2;3;4;5;6",7,24,,,"Random",1,"sc/ui.sc#shop_item_med_daily",
"WeekdayDiscount",,,"TRUE","DailyOffers","DailyOffers_Discount",,"Village","1;2;3;4;5;6",7,24,,,"Random",1,"sc/ui.sc#shop_item_med_daily",
"WeekdayNormal",,,"TRUE","DailyOffers","DailyOffers",,"Village","1;2;3;4;5;6",7,24,,,"Random",6,"sc/ui.sc#shop_item_med_daily",
"SundayFreebie",,,"TRUE","DailyOffers","DailyOffers_Freebie",,"Village",7,7,24,,,"Random",1,"sc/ui.sc#shop_item_med_daily",
"SundayDiscount",,,"TRUE","DailyOffers","DailyOffers_Discount",,"Village",7,7,24,,,"Random",6,"sc/ui.sc#shop_item_med_daily",
"SundaySuperDiscount",,,"FALSE","DailyOffers","DailyOffers_Discount",,"Village",7,7,24,,,"Random",0,"sc/ui.sc#shop_item_med_daily",
"SundayNormal",,,"TRUE","DailyOffers","DailyOffers",,"Village",7,7,24,,,"Random",1,"sc/ui.sc#shop_item_med_daily",
"BasicResources",,,"TRUE","BasicResources","AlwaysAvailable",,"Village",,,24,,,"All",,"sc/ui.sc#shop_item_tall",
"DecoBundles",,,"TRUE","DecosMain","DecoBundle",,"Village",,,120,,48,"Rotation",1,"sc/ui.sc#shop_item","TRUE"
"ValueDecos",,,"TRUE","ValueDecos","ValueDecos",,"Village","1;2;3;4",5,24,,,"Rotation",9,"sc/ui.sc#shop_item",
"BulkDecos",,,"FALSE","DecosPermanent","BulkDecos",,"Village",,,0,,,"All",,"sc/ui.sc#shop_item_small",
"Togetherness",,,"FALSE","ValleyOffers","Togetherness",,"Valley",,,144,0,48,"Rotation",1,"sc/ui.sc#shop_item",
"LimitedValley",,,"FALSE","ValleyOffers","LimitedValley",,"Valley",,,144,72,24,"Rotation",1,"sc/ui.sc#shop_item",
"RentAWorker",,,"TRUE","RentAWorker","RentAWorker",,"Village",,,0,,,"All",,"sc/ui.sc#shop_item",
"WorkerSkin",,,"TRUE","WorkerSkin","WorkerSkin",,"Village",,,24,,,"Rotation",3,"sc/ui.sc#shop_item_tall_skin",
"StarterPack",,,"TRUE","StarterPack","StarterPack",,"Village",,,0,,,"All",,"sc/ui.sc#shop_item","TRUE"
"Potions",,,"TRUE","Potions","Potions",,"Village","1;2;3",4,24,,,"Random",3,"sc/ui.sc#shop_item",
"BulkDecosFreebies",,,"FALSE","DecosPermanent","BulkDecos_Free",,"Village",,,72,0,24,"Random",1,"sc/ui.sc#shop_item_small",
"WorkerSkinSundayNormal",,,"FALSE","WorkerSkin","WorkerSkin",,"Village",7,7,24,,,"Rotation",2,"sc/ui.sc#shop_item_tall_skin",
"WorkerSkinSundayDiscount",,,"FALSE","WorkerSkin","WorkerSkin_Discount",,"Village",7,7,24,,,"Rotation",1,"sc/ui.sc#shop_item_tall_skin",
"Pets",,,"TRUE","Pets","Pets",,"Village",,,0,,,"All",,"sc/ui.sc#shop_item",
"ValueDecosFreebieDayNormal",,,"TRUE","ValueDecos","ValueDecos",,"Village",5,5,24,,,"Rotation",8,"sc/ui.sc#shop_item",
"ValueDecosFreebieDayFree",,,"TRUE","ValueDecos","ValueDecos_Free",,"Village",5,5,24,,,"Rotation",1,"sc/ui.sc#shop_item",
"PotionsDiscountDayNormal",,,"TRUE","Potions","PotionsDiscount",,"Village",4,4,24,,,"Random",2,"sc/ui.sc#shop_item",
"PotionsDiscountDayDiscount",,,"TRUE","Potions","PotionsDiscount",,"Village",4,4,24,,,"Random",1,"sc/ui.sc#shop_item",
"Referral",,,TRUE,"Gems","Referral",,"Village",,,24,,,"All",,"sc/ui.sc#shop_item",
