"Name","PotionName","PotionLevel","RewardAmountMin","RewardAmountMax","RewardProbability"
"String","String","int","int","int","int"
"Random_Potion_Tier1","PotionSpeedLumberjack",1,1,1,30
,"PotionSpeedFarmer",1,1,1,30
,"PotionNoFood",1,1,1,40
"Random_Potion_Tier2","PotionSpeedLumberjack",1,1,1,15
,"PotionSpeedFarmer",1,1,1,15
,"PotionNoFood",1,1,1,15
,"PotionSpeedClaydigger",1,1,1,15
,"PotionSpeedStonemason",1,1,1,15
,"PotionSpeedResearcher",1,1,1,15
,"PotionSpeedLumberjack",2,1,1,2
,"PotionSpeedFarmer",2,1,1,2
,"PotionSpeedResearcher",2,1,1,2
,"PotionSpeedStonemason",2,1,1,2
,"PotionSpeedClaydigger",2,1,1,2
"Random_Potion_Tier3","PotionSpeedLumberjack",1,1,1,9
,"PotionSpeedFarmer",1,1,1,9
,"PotionSpeedResearcher",1,1,1,9
,"PotionSpeedStonemason",1,1,1,9
,"PotionSpeedSawyer",1,1,1,9
,"PotionSpeedClaydigger",1,1,1,9
,"PotionSpeedBrickmaker",1,1,1,9
,"PotionNoFood",1,1,1,9
,"PotionSpeedLumberjack",2,1,1,4
,"PotionSpeedFarmer",2,1,1,4
,"PotionSpeedResearcher",2,1,1,4
,"PotionSpeedStonemason",2,1,1,4
,"PotionSpeedSawyer",2,1,1,4
,"PotionSpeedClaydigger",2,1,1,4
,"PotionSpeedBrickmaker",2,1,1,4
"LevelUp_Potion_NoFood","PotionNoFood",1,1,1,100
"LevelUp_Potion_Farmer1","PotionSpeedFarmer",1,1,1,100
"LevelUp_Potion_Farmer2","PotionSpeedFarmer",2,1,1,100
"LevelUp_Potion_Farmer3","PotionSpeedFarmer",3,1,1,100
"LevelUp_Potion_Research1","PotionSpeedResearcher",1,1,1,100
"LevelUp_Potion_Research2","PotionSpeedResearcher",2,1,1,100
"LevelUp_Potion_Research3","PotionSpeedResearcher",3,1,1,100
"Fixed_Potion_Farmer1","PotionSpeedFarmer",1,1,1,100
"Fixed_Potion_Farmer2","PotionSpeedFarmer",2,1,1,100
"Fixed_Potion_Farmer3","PotionSpeedFarmer",3,1,1,100
"Fixed_Potion_Researcher1","PotionSpeedResearcher",1,1,1,100
"Fixed_Potion_Researcher2","PotionSpeedResearcher",2,1,1,100
"Fixed_Potion_Researcher3","PotionSpeedResearcher",3,1,1,100
"Fixed_Potion_NoFood1","PotionNoFood",1,1,1,100
"Fixed_Potion_NoFood2","PotionNoFood",2,1,1,100
"Fixed_Potion_NoFood3","PotionNoFood",3,1,1,100
"Fixed_Potion_Lumberjack1","PotionSpeedLumberjack",1,1,1,100
"Fixed_Potion_Lumberjack2","PotionSpeedLumberjack",2,1,1,100
"Fixed_Potion_Lumberjack3","PotionSpeedLumberjack",3,1,1,100
"Fixed_Potion_Claydigger1","PotionSpeedClaydigger",1,1,1,100
"Fixed_Potion_Claydigger2","PotionSpeedClaydigger",2,1,1,100
"Fixed_Potion_Claydigger3","PotionSpeedClaydigger",3,1,1,100
"Fixed_Potion_Stonemason1","PotionSpeedStonemason",1,1,1,100
"Fixed_Potion_Stonemason2","PotionSpeedStonemason",2,1,1,100
"Fixed_Potion_Stonemason3","PotionSpeedStonemason",3,1,1,100
"Fixed_Potion_Sawyer1","PotionSpeedSawyer",1,1,1,100
"Fixed_Potion_Sawyer2","PotionSpeedSawyer",2,1,1,100
"Fixed_Potion_Sawyer3","PotionSpeedSawyer",3,1,1,100
"Fixed_Potion_Brickmaker1","PotionSpeedBrickmaker",1,1,1,100
"Fixed_Potion_Brickmaker2","PotionSpeedBrickmaker",2,1,1,100
"Fixed_Potion_Brickmaker3","PotionSpeedBrickmaker",3,1,1,100
