"Name","TID","VerbTID","IconSWF","IconExportName","IconFrameLabel","BoostingTool","BoostingSpecialty","CanHarvest","HungerPerMinute","XPGenerated","WorkAnimation1","WorkAnimation2","WorkAnimation3","AttachmentSCW1","AttachmentSCW2","AttachmentSCW3"
"String","String","String","String","String","String","String","String","boolean","int","int","String","String","String","String","String","String"
"None",,"TID_PROFESSION_NONE_VERB",,,,,,,,,"Idle","Idle","Idle",,,
"Lumberjack","TID_PROFESSION_LUMBERJACK","TID_PROFESSION_LUMBERJACK_VERB","sc/ui.sc","icon_axe","icon_tool_axe","PotionSpeedLumberjack","Lumberjacking","true",40,,"CutWood","CutWood","CutWood","sc3d/tool_axe_geo.glb",,
"Forester","TID_PROFESSION_LUMBERJACK","TID_PROFESSION_FORESTER_VERB","sc/ui.sc","icon_axe","icon_tool_axe","PotionSpeedLumberjack","Lumberjacking","true",40,,"Plant","WaterPlant","CutWood","sc3d/tool_shovel_geo.glb","sc3d/tool_watering_can_geo.glb","sc3d/tool_axe_geo.glb"
"Farmer","TID_PROFESSION_FARMER","TID_PROFESSION_FARMER_VERB","sc/ui.sc","icon_wheat","icon_tool_hammer","PotionSpeedFarmer","Farming","true",,,"Plant","WaterPlant","CutPlant","sc3d/tool_fork_geo.glb","sc3d/tool_watering_can_geo.glb","sc3d/tool_sickle_geo.glb"
"Stonemason","TID_PROFESSION_STONEMASON","TID_PROFESSION_STONEMASON_VERB","sc/ui.sc","icon_stone","icon_tool_hammer","PotionSpeedStonemason","Stonemasonry","true",40,,"DrillStone","DrillStone","DrillStone","sc3d/tool_pickaxe_geo.glb",,
"Builder","TID_PROFESSION_BUILDER","TID_PROFESSION_BUILDER_VERB","sc/ui.sc","icon_hammer","icon_tool_hammer",,"Construction",,40,,"Build","Build","Build","sc3d/tool_hammer_geo.glb",,
"Forager","TID_PROFESSION_FORAGER","TID_PROFESSION_FORAGER_VERB","sc/ui.sc","icon_meat","icon_tool_hammer",,,"true",,,"Forage","Forage","Forage","sc3d/tool_sickle_geo.glb",,
"Researcher","TID_PROFESSION_RESEARCHER","TID_PROFESSION_RESEARCHER_VERB","sc/ui.sc","icon_research","icon_tool_magnifying_glass","PotionSpeedResearcher","Researching",,40,,"Research","Research","Research","sc3d/tool_magnifier_geo.glb",,
"Newbie",,"TID_PROFESSION_NEWBIE_VERB",,,,,,,,,"Idle","Idle","Idle",,,
"Sawyer","TID_PROFESSION_SAWYER","TID_PROFESSION_SAWYER_VERB","sc/ui.sc","icon_planks","icon_tool_saw","PotionSpeedSawyer",,,40,,"Saw","Saw","Saw","sc3d/tool_saw_geo.glb",,
"Mover","TID_PROFESSION_MOVER","TID_PROFESSION_MOVER_VERB","sc/ui.sc","icon_hammer","icon_tool_hammer",,,,40,,"Work","Work","Work","sc3d/tool_hammer_geo.glb",,
"Smith","TID_PROFESSION_SMITH","TID_PROFESSION_SMITH_VERB","sc/ui.sc","icon_hammer","icon_tool_hammer",,,,40,,"Work","Work","Work","sc3d/tool_hammer_geo.glb",,
"Student","TID_PROFESSION_STUDENT","TID_PROFESSION_STUDENT_VERB","sc/ui.sc","icon_research","icon_tool_magnifying_glass",,,,,,"Research","Research","Research",,,
"Claydigger","TID_PROFESSION_CLAYDIGGER","TID_PROFESSION_CLAYDIGGER_VERB","sc/ui.sc","icon_stone","icon_tool_hammer","PotionSpeedClaydigger","Claydigging","true",40,,"ClayDig","ClayDig","ClayDig","sc3d/tool_shovel_geo.glb",,
"Brickmaker","TID_PROFESSION_BRICKMAKER","TID_PROFESSION_BRICKMAKER_VERB","sc/ui.sc","icon_planks","icon_tool_saw","PotionSpeedBrickmaker",,,40,,"MakeBrick","MakeBrick","MakeBrick","sc3d/tool_brickyard_geo.glb",,
