"Name","Disabled","TID","InfoTID","Reputation","MaxGuildLevel","ExtraBoatTasks","ExtraChallengeTasks","ExtraConstructionTasks","ExtraProductionSlots","ExtraCraftingSlots","ExtraVotePower","ExtraBoatTaskEnergy","ExtraChallengeTaskEnergy","ExtraConstructionTaskEnergy","RewardChest","IconSWF","IconExportName"
"String","boolean","String","String","int","int","int","int","int","int","int","int","int","int","int","String","String","String"
"Guild1",,"TID_REPUTATION_ROAD_GUILD_LEVEL","TID_REPUTATION_ROAD_INFO_GUILD_LEVEL",0,1,,,,,,,,,,,"sc/ui.sc","reputation_perk_guilds_01"
"ProductionSlots1",,"TID_REPUTATION_ROAD_PRODUCTION_SLOTS_1","TID_REPUTATION_ROAD_INFO_PRODUCTION_SLOTS_1",0,,,,,1,,,,,,,"sc/ui.sc","reputation_perk_production_field_wheat"
"CraftingSlots1",,"TID_REPUTATION_ROAD_CRAFTING_SLOTS_1","TID_REPUTATION_ROAD_INFO_CRAFTING_SLOTS_1",0,,,,,,1,,,,,,"sc/ui.sc","reputation_perk_crafting_baker"
"ReputationChest001",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",100,,,,,,,,,,,"ReputationChestSmall01","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ConstructionEnergy1",,"TID_REPUTATION_ROAD_CONSTRUCTION_ENERGY","TID_REPUTATION_ROAD_INFO_CONSTRUCTION_ENERGY",200,,,,,,,,,,1,,"sc/ui.sc","reputation_perk_construction_task"
"ReputationChest002",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",400,,,,,,,,,,,"ReputationChestSmall02","sc/ui.sc","reputation_daily_reward_wooden_chest"
"BoatEnergy1",,"TID_REPUTATION_ROAD_BOAT_ENERGY","TID_REPUTATION_ROAD_INFO_BOAT_ENERGY",600,,,,,,,,1,,,,"sc/ui.sc","reputation_perk_boat_tasks"
"ReputationChest003",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",800,,,,,,,,,,,"ReputationChestSmall03","sc/ui.sc","reputation_daily_reward_wooden_chest"
"CraftingSlots2",,"TID_REPUTATION_ROAD_CRAFTING_SLOTS","TID_REPUTATION_ROAD_INFO_CRAFTING_SLOTS",1000,,,,,,2,,,,,,"sc/ui.sc","reputation_perk_crafting_tailor"
"ReputationChest004",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",1300,,,,,,,,,,,"ReputationChestSmall04","sc/ui.sc","reputation_daily_reward_wooden_chest"
