"Name","TID","InfoTID","ToolTipTID","ShopInfoTID","StorageTID","StoreType","Type","Category","HideInInfoScreens","PotionIngredient","Predict","SWF","ExportName","SCW","Scale","Scale2D","ResourceIconExportName","DataGainedAnimation","CollectEffect","DepositEffect","PremiumCurrency","DisplayIndex","HudBarExportName","FillBarExportName","StartingAmount","Red","Green","Blue","CapFullTID","TextRed","TextGreen","TextBlue","RequestInVillageTasks","TaskRequirementPercentage","ReputationRewardPercentage","KnowledgeRewardPercentage","CoinsRewardPercentage","OfferProductCountPercentage","TaskResourceGroup","GemCostPercentage","MarketResource","MarketSellPrice","MarketBuyPrice","ConvertToResource","ConvertValue","NeedsVillageTech","NeedsVillageTech2","NeedsVillageBuilding","NeedsVillageBuildingLevel","NeedsVillageBuilding2","NeedsVillageBuildingLevel2","NeedsNationTech","NeedsNationTech2","NeedsNationBuilding","NeedsNationBuildingLevel","NeedsNationBuilding2","NeedsNationBuildingLevel2","IsCommodity","ProductionType","GraphicsNodeName","Tag1","Tag2","Tag3"
"String","String","String","String","String","String","String","String","String","Boolean","Boolean","Boolean","String","String","String","int","int","String","String","String","String","Boolean","int","String","String","int","int","int","int","String","int","int","int","Boolean","int","int","int","int","int","String","int","String","int","int","String","int","String","String","String","int","String","int","String","String","String","int","String","int","Boolean","String","String","String","String","String"
"Diamonds","TID_RESOURCE_DIAMONDS","TID_RESOURCE_DIAMONDS_INFO","TID_RESOURCE_DIAMONDS_TOOLTIP","TID_RESOURCE_DIAMONDS_SHOP_INFO",,,,"NoCategory",,"FALSE","FALSE","sc/ui.sc","icon_resource_gem",,,,"icon_diamond","resource_gem_animation",,,"TRUE",0,"resource_container_flash_animation",,5,0,180,80,,255,253,207,,,,,,,"Default",,,,,,,,,,,,,,,,,,,"FALSE",,"diamonds",,,
"Food","TID_RESOURCE_FOOD","TID_RESOURCE_FOOD_INFO","TID_RESOURCE_FOOD_TOOLTIP","TID_RESOURCE_FOOD_SHOP_INFO","TID_STORAGE_SOUP",,,"Soup",,"FALSE","TRUE","sc/ui.sc","icon_resource_food","sc3d/res_pumpkin_geo.glb",100,35,"icon_meat",,,"DepositResource",,2,"resource_container_flash_animation",,,200,180,,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,,,31,91,411,,"Default",16,,2,9,,,,,,,,,,,,,,,"FALSE",,"food",,,
"Tree","TID_RESOURCE_TREE","TID_RESOURCE_TREE_INFO","TID_RESOURCE_TREE_TOOLTIP","TID_RESOURCE_TREE_SHOP_INFO","TID_STORAGE_WOOD",,,"NoCategory",,"FALSE","FALSE","sc/ui.sc","icon_resource_wood","sc3d/res_log_geo.glb",100,35,"icon_wood",,,"DepositResource",,2,,,,150,75,,"TID_RESOURCE_CAP_FULL_TREE",255,253,207,,,,,,,"Default",,,,,,,,,,,,,,,,,,,"FALSE",,"tree",,,
"Wood","TID_RESOURCE_WOOD","TID_RESOURCE_WOOD_INFO","TID_RESOURCE_WOOD_TOOLTIP","TID_RESOURCE_WOOD_SHOP_INFO","TID_STORAGE_WOOD",,,"NoCategory",,"FALSE","TRUE","sc/ui.sc","icon_resource_wood","sc3d/res_log_geo.glb",100,35,"icon_wood",,,"DepositResource",,2,"resource_container_flash_animation",,,150,75,,"TID_RESOURCE_CAP_FULL_WOOD",255,253,207,"TRUE",100,38,113,513,100,"ConstructionBasic",20,"Coins",2,11,,,,,,,,,,,,,,,"FALSE",,"wood","ConstructionBasic","ConstructionAny",
"Pumpkin","TID_RESOURCE_PUMPKIN","TID_RESOURCE_PUMPKIN_INFO","TID_RESOURCE_PUMPKIN_TOOLTIP","TID_RESOURCE_PUMPKIN_SHOP_INFO","TID_STORAGE_SOUP","Food","Ingredient","RawFoodIngredient",,"FALSE","FALSE","sc/ui.sc","icon_resource_pumpkin","sc3d/res_pumpkin_geo.glb",100,35,"icon_pumpkin",,,"DepositSoup",,2,,,,200,180,,"TID_RESOURCE_CAP_FULL_PUMPKINS",255,253,207,,,,,,,"Default",,,,,,,,,,,,,,,,,,,"FALSE",,"pumpkin",,,
"Stone","TID_RESOURCE_STONE","TID_RESOURCE_STONE_INFO","TID_RESOURCE_STONE_TOOLTIP","TID_RESOURCE_STONE_SHOP_INFO","TID_STORAGE_STONE",,,"NoCategory",,"FALSE","TRUE","sc/ui.sc","icon_resource_stone","sc3d/res_stone_geo.glb",100,35,"icon_stone",,,"DepositResource",,2,"resource_container_flash_animation",,,140,120,120,"TID_RESOURCE_CAP_FULL_STONE",255,253,207,"TRUE",80,47,141,638,80,"ConstructionBasic",25,"Coins",3,14,,,"StoneStorageCount1",,"StoneStorage",1,,,,,,,,,"FALSE",,"stone","ConstructionBasic","ConstructionAny",
"Science","TID_RESOURCE_SCIENCE","TID_RESOURCE_SCIENCE_INFO","TID_RESOURCE_SCIENCE_TOOLTIP","TID_RESOURCE_SCIENCE_SHOP_INFO",,,,"NoCategory",,"FALSE","FALSE","sc/ui.sc","icon_resource_research_scroll",,35,35,"icon_resource_research_scroll",,,"DepositResource",,2,,,,50,50,220,"TID_RESOURCE_CAP_FULL_SCIENCE",255,253,207,,,,,,,"Default",20,,,,,,,,,,,,,,,,,,"FALSE",,"science",,,
"Berry","TID_RESOURCE_BERRY","TID_RESOURCE_BERRY_INFO","TID_RESOURCE_BERRY_TOOLTIP","TID_RESOURCE_BERRY_SHOP_INFO","TID_STORAGE_KITCHEN",,,"RawFoodIngredient",,"FALSE","FALSE","sc/ui.sc","icon_resource_redberry","sc3d/res_berries_geo.glb",100,35,"icon_meat",,,"DepositResource",,2,,,,200,180,,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",46,83,249,1130,46,"FoodRawMaterial",45,"Coins",5,25,"Food",2,,,,,,,,,,,,,"FALSE",,"berry","FoodRawMaterial",,
"Mushroom","TID_RESOURCE_MUSHROOM","TID_RESOURCE_MUSHROOM_INFO","TID_RESOURCE_MUSHROOM_TOOLTIP","TID_RESOURCE_MUSHROOM_SHOP_INFO","TID_STORAGE_KITCHEN",,,"RawFoodIngredient",,"FALSE","FALSE","sc/ui.sc","icon_resource_mushroom","sc3d/res_mushrooms_geo.glb",100,35,"icon_meat",,,"DepositResource",,2,,,,200,180,,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",32,117,351,1593,32,"FoodRawMaterial",63,"Coins",7,35,"Food",3,,,,,,,,,,,,,"FALSE",,"mushroom","FoodRawMaterial",,
"Plank","TID_RESOURCE_PLANK","TID_RESOURCE_PLANK_INFO","TID_RESOURCE_PLANK_TOOLTIP","TID_RESOURCE_PLANK_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"NoCategory",,"FALSE","TRUE","sc/ui.sc","icon_resource_plank","sc3d/res_plank_geo.glb",100,35,"icon_planks",,,"DepositResource",,2,"resource_container_flash_animation",,,50,50,220,"TID_RESOURCE_CAP_FULL_PLANK",255,253,207,"TRUE",40,95,283,1282,40,"ConstructionAdvanced",51,"Coins",6,28,,,,,"Sawmill",1,,,,,,,,,"FALSE",,"plank","ConstructionAdvanced","ConstructionAny",
"Crate","TID_RESOURCE_CRATES","TID_RESOURCE_CRATES_INFO","TID_RESOURCE_CRATES_TOOLTIP","TID_RESOURCE_CRATES_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"NoCategory",,"FALSE","FALSE","sc/ui.sc","icon_storage_box","sc3d/res_crate_geo.glb",100,35,"icon_stone",,,"DepositResource",,2,,,,140,120,120,"TID_RESOURCE_CAP_FULL_CRATES",255,253,207,,,,,,,"Default",,,,,,,,,,,,,,,,,,,"FALSE",,"crate",,,
"Egg","TID_RESOURCE_EGG","TID_RESOURCE_EGG_INFO","TID_RESOURCE_EGG_TOOLTIP","TID_RESOURCE_EGG_SHOP_INFO","TID_STORAGE_KITCHEN",,,"RawFoodIngredient",,"FALSE","FALSE","sc/ui.sc","icon_resource_egg","sc3d/res_pumpkin_geo.glb",100,35,"icon_egg",,,"DepositResource",,2,,,,200,180,,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",60,63,187,850,60,"FoodRawMaterial",34,"Coins",4,19,"Food",2,,,,,,,,,,,,,"FALSE",,"egg","FoodRawMaterial",,
