"Name","TID","Description","IconSWF","IconExportName","BoostIncrease","StudySeconds","GoldCost","XPNeededMinutes","Disabled"
"String","String","String","String","String","int","int","int","int","boolean"
"Lumberjacking","TID_LUMBERJACK_VERB","TID_LUMBERJACK_VERB","sc/ui.sc","icon_profession_lumberjack",10,3600,1000,200,
,,,,,20,7200,2000,500,
,,,,,30,14400,3000,1000,
,,,,,40,28800,4000,2000,
,,,,,50,43200,5000,3500,
,,,,,60,57600,6000,5000,
,,,,,70,72000,7000,7000,
,,,,,80,86400,8000,10000,
,,,,,90,100800,9000,14000,
,,,,,100,115200,10000,20000,
"Farming","TID_FARMER_VERB","TID_FARMER_VERB","sc/ui.sc","icon_profession_harvester",10,3600,1000,200,
,,,,,20,7200,2000,500,
,,,,,30,14400,3000,1000,
,,,,,40,28800,4000,2000,
,,,,,50,43200,5000,3500,
,,,,,60,57600,6000,5000,
,,,,,70,72000,7000,7000,
,,,,,80,86400,8000,10000,
,,,,,90,100800,9000,14000,
,,,,,100,115200,10000,20000,
"Stonemasonry","TID_STONEMASON_VERB","TID_STONEMASON_VERB","sc/ui.sc","icon_profession_mining",10,3600,1000,200,
,,,,,20,7200,2000,500,
,,,,,30,14400,3000,1000,
,,,,,40,28800,4000,2000,
,,,,,50,43200,5000,3500,
,,,,,60,57600,6000,5000,
,,,,,70,72000,7000,7000,
,,,,,80,86400,8000,10000,
,,,,,90,100800,9000,14000,
,,,,,100,115200,10000,20000,
"Researching","TID_RESEARCHER_VERB","TID_RESEARCHER_VERB","sc/ui.sc","icon_profession_researcher",10,3600,1000,200,
,,,,,20,7200,2000,500,
,,,,,30,14400,3000,1000,
,,,,,40,28800,4000,2000,
,,,,,50,43200,5000,3500,
,,,,,60,57600,6000,5000,
,,,,,70,72000,7000,7000,
,,,,,80,86400,8000,10000,
,,,,,90,100800,9000,14000,
,,,,,100,115200,10000,20000,
"Sawing","TID_SAWYER_VERB","TID_SAWYER_VERB","sc/ui.sc","icon_resource_plank",10,3600,1000,200,"TRUE"
,,,,,20,7200,2000,500,
,,,,,30,14400,3000,1000,
,,,,,40,28800,4000,2000,
,,,,,50,43200,5000,3500,
,,,,,60,57600,6000,5000,
,,,,,70,72000,7000,7000,
,,,,,80,86400,8000,10000,
,,,,,90,100800,9000,14000,
,,,,,100,115200,10000,20000,
"Construction","TID_BUILDER_VERB","TID_BUILDER_VERB","sc/ui.sc","icon_profession_builder",10,3600,1000,200,
,,,,,20,7200,2000,500,
,,,,,30,14400,3000,1000,
,,,,,40,28800,4000,2000,
,,,,,50,43200,5000,3500,
,,,,,60,57600,6000,5000,
,,,,,70,72000,7000,7000,
,,,,,80,86400,8000,10000,
,,,,,90,100800,9000,14000,
,,,,,100,115200,10000,20000,
"Claydigging","TID_CLAYDIGGER_VERB","TID_CLAYDIGGER_VERB","sc/ui.sc","icon_profession_clay_digging",10,3600,1000,200,
,,,,,20,7200,2000,500,
,,,,,30,14400,3000,1000,
,,,,,40,28800,4000,2000,
,,,,,50,43200,5000,3500,
,,,,,60,57600,6000,5000,
,,,,,70,72000,7000,7000,
,,,,,80,86400,8000,10000,
,,,,,90,100800,9000,14000,
,,,,,100,115200,10000,20000,
