"Name","TID","RequiredData","RequiredAmount","PrimaryReward","PrimaryAmount","SecondaryReward","SecondaryAmount","NationKnowledgeReward","ReputationReward","ReputationCancelCost","CountInAutoGeneration","Tier","Tag1","Tag2","Tag3","Tag4","Tag5"
"String","String","String","int","String","int","String","int","int","int","int","int","int","String","String","String","String","String"
"BuildingTemplateTask","TID_BUILDING_TASK","Wood",10,,,,,,1,0,,,,,,,
"VillageTemplateTask","TID_VILLAGE_TASK","Wood",10,,,,,,,0,,,,,,,
"Task0001","TID_HARBOR_TASK","Wood",11,"Coins",62,,,,,0,100,1,"Coin","Basic","SizeSmall","Construction",
"Task0002","TID_HARBOR_TASK","Wood",14,"Coins",79,,,,,0,100,1,"Coin","Basic","SizeSmall","Construction",
"Task0003","TID_HARBOR_TASK","Wood",18,"Coins",101,,,,,0,100,1,"Coin","Basic","SizeBig","Construction",
"Task0004","TID_HARBOR_TASK","Wood",21,"Coins",120,,,,,0,100,1,"Coin","Basic","SizeBig","Construction",
"Task0005","TID_HARBOR_TASK","Berry",5,"Coins",62,,,,,0,100,1,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0006","TID_HARBOR_TASK","Berry",6,"Coins",75,,,,,0,100,1,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0007","TID_HARBOR_TASK","Berry",8,"Coins",99,,,,,0,100,1,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0008","TID_HARBOR_TASK","Berry",10,"Coins",124,,,,,0,100,1,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0009","TID_HARBOR_TASK","Mushroom",3,"Coins",53,,,,,0,100,1,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0010","TID_HARBOR_TASK","Mushroom",5,"Coins",88,,,,,0,100,1,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0011","TID_HARBOR_TASK","Mushroom",6,"Coins",105,,,,,0,100,1,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0012","TID_HARBOR_TASK","Mushroom",7,"Coins",123,,,,,0,100,1,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0013","TID_HARBOR_TASK","Egg",6,"Coins",56,,,,,0,100,1,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0014","TID_HARBOR_TASK","Egg",9,"Coins",84,,,,,0,100,1,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0015","TID_HARBOR_TASK","Egg",11,"Coins",103,,,,,0,100,1,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0016","TID_HARBOR_TASK","Egg",13,"Coins",122,,,,,0,100,1,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0017","TID_HARBOR_TASK","Clay",9,"Coins",62,,,,,0,100,1,"Coin","Basic","SizeSmall","Construction",
"Task0018","TID_HARBOR_TASK","Clay",12,"Coins",82,,,,,0,100,1,"Coin","Basic","SizeSmall","Construction",
"Task0019","TID_HARBOR_TASK","Clay",15,"Coins",103,,,,,0,100,1,"Coin","Basic","SizeBig","Construction",
"Task0020","TID_HARBOR_TASK","Clay",18,"Coins",123,,,,,0,100,1,"Coin","Basic","SizeBig","Construction",
"Task0021","TID_HARBOR_TASK","Wool",4,"Coins",62,,,,,0,100,1,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0022","TID_HARBOR_TASK","Wool",5,"Coins",77,,,,,0,100,1,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0023","TID_HARBOR_TASK","Wool",6,"Coins",93,,,,,0,100,1,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0024","TID_HARBOR_TASK","Wool",8,"Coins",124,,,,,0,100,1,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0025","TID_HARBOR_TASK","Socks",1,"Coins",79,,,,,0,100,1,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0026","TID_HARBOR_TASK","Socks",1,"Coins",79,,,,,0,100,1,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0027","TID_HARBOR_TASK","Socks",2,"Coins",159,,,,,0,100,1,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0028","TID_HARBOR_TASK","Socks",2,"Coins",159,,,,,0,100,1,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0029","TID_HARBOR_TASK","Figurine",2,"Coins",57,,,,,0,100,1,"Coin","Basic","SizeSmall","Crafts","NotConstruction"
"Task0030","TID_HARBOR_TASK","Figurine",3,"Coins",86,,,,,0,100,1,"Coin","Basic","SizeSmall","Crafts","NotConstruction"
"Task0031","TID_HARBOR_TASK","Figurine",3,"Coins",86,,,,,0,100,1,"Coin","Basic","SizeBig","Crafts","NotConstruction"
"Task0032","TID_HARBOR_TASK","Figurine",4,"Coins",115,,,,,0,100,1,"Coin","Basic","SizeBig","Crafts","NotConstruction"
"Task0033","TID_HARBOR_TASK","Wood",16,"Coins",90,,,,,0,100,2,"Coin","Basic","SizeSmall","Construction",
"Task0034","TID_HARBOR_TASK","Wood",20,"Coins",110,,,,,0,100,2,"Coin","Basic","SizeSmall","Construction",
"Task0035","TID_HARBOR_TASK","Wood",23,"Coins",130,,,,,0,100,2,"Coin","Basic","SizeBig","Construction",
"Task0036","TID_HARBOR_TASK","Wood",27,"Coins",150,,,,,0,100,2,"Coin","Basic","SizeBig","Construction",
"Task0037","TID_HARBOR_TASK","Berry",7,"Coins",87,,,,,0,50,2,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0038","TID_HARBOR_TASK","Berry",9,"Coins",112,,,,,0,50,2,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0039","TID_HARBOR_TASK","Berry",11,"Coins",137,,,,,0,50,2,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0040","TID_HARBOR_TASK","Berry",12,"Coins",149,,,,,0,50,2,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0041","TID_HARBOR_TASK","Mushroom",5,"Coins",88,,,,,0,50,2,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0042","TID_HARBOR_TASK","Mushroom",6,"Coins",105,,,,,0,50,2,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0043","TID_HARBOR_TASK","Mushroom",8,"Coins",140,,,,,0,50,2,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0044","TID_HARBOR_TASK","Mushroom",9,"Coins",158,,,,,0,50,2,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0045","TID_HARBOR_TASK","Egg",9,"Coins",84,,,,,0,50,2,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0046","TID_HARBOR_TASK","Egg",12,"Coins",112,,,,,0,50,2,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0047","TID_HARBOR_TASK","Egg",14,"Coins",131,,,,,0,50,2,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0048","TID_HARBOR_TASK","Egg",16,"Coins",150,,,,,0,50,2,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0049","TID_HARBOR_TASK","Clay",13,"Coins",89,,,,,0,100,2,"Coin","Basic","SizeSmall","Construction",
"Task0050","TID_HARBOR_TASK","Clay",16,"Coins",109,,,,,0,100,2,"Coin","Basic","SizeSmall","Construction",
"Task0051","TID_HARBOR_TASK","Clay",19,"Coins",130,,,,,0,100,2,"Coin","Basic","SizeBig","Construction",
"Task0052","TID_HARBOR_TASK","Clay",23,"Coins",160,,,,,0,100,2,"Coin","Basic","SizeBig","Construction",
"Task0053","TID_HARBOR_TASK","Wool",6,"Coins",93,,,,,0,90,2,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0054","TID_HARBOR_TASK","Wool",7,"Coins",108,,,,,0,90,2,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0055","TID_HARBOR_TASK","Wool",9,"Coins",139,,,,,0,90,2,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0056","TID_HARBOR_TASK","Wool",10,"Coins",155,,,,,0,90,2,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0057","TID_HARBOR_TASK","Socks",1,"Coins",79,,,,,0,100,2,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0058","TID_HARBOR_TASK","Socks",1,"Coins",79,,,,,0,100,2,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0059","TID_HARBOR_TASK","Socks",2,"Coins",159,,,,,0,100,2,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0060","TID_HARBOR_TASK","Socks",2,"Coins",159,,,,,0,100,2,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0061","TID_HARBOR_TASK","Figurine",3,"Coins",86,,,,,0,100,2,"Coin","Basic","SizeSmall","Crafts","NotConstruction"
"Task0062","TID_HARBOR_TASK","Figurine",4,"Coins",115,,,,,0,100,2,"Coin","Basic","SizeSmall","Crafts","NotConstruction"
"Task0063","TID_HARBOR_TASK","Figurine",5,"Coins",143,,,,,0,100,2,"Coin","Basic","SizeBig","Crafts","NotConstruction"
"Task0064","TID_HARBOR_TASK","Figurine",5,"Coins",143,,,,,0,100,2,"Coin","Basic","SizeBig","Crafts","NotConstruction"
"Task0065","TID_HARBOR_TASK","Bread",2,"Coins",101,,,,,0,100,2,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0066","TID_HARBOR_TASK","Bread",2,"Coins",101,,,,,0,100,2,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0067","TID_HARBOR_TASK","Bread",3,"Coins",151,,,,,0,100,2,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0068","TID_HARBOR_TASK","Bread",3,"Coins",151,,,,,0,100,2,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0069","TID_HARBOR_TASK","Wheat",4,"Coins",79,,,,,0,90,2,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0070","TID_HARBOR_TASK","Wheat",6,"Coins",118,,,,,0,90,2,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0071","TID_HARBOR_TASK","Wheat",7,"Coins",138,,,,,0,90,2,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0072","TID_HARBOR_TASK","Wheat",8,"Coins",158,,,,,0,90,2,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0073","TID_HARBOR_TASK","BerryPie",1,"Coins",148,,,,,0,100,2,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0074","TID_HARBOR_TASK","BerryPie",1,"Coins",148,,,,,0,100,2,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0075","TID_HARBOR_TASK","BerryPie",2,"Coins",296,,,,,0,100,2,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0076","TID_HARBOR_TASK","BerryPie",2,"Coins",296,,,,,0,100,2,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0077","TID_HARBOR_TASK","Flour",3,"Coins",84,,,,,0,100,2,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0078","TID_HARBOR_TASK","Flour",4,"Coins",112,,,,,0,100,2,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0079","TID_HARBOR_TASK","Flour",5,"Coins",140,,,,,0,100,2,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0080","TID_HARBOR_TASK","Flour",5,"Coins",140,,,,,0,100,2,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0081","TID_HARBOR_TASK","Wood",23,"Coins",130,,,,,0,100,3,"Coin","Basic","SizeSmall","Construction",
"Task0082","TID_HARBOR_TASK","Wood",27,"Coins",150,,,,,0,100,3,"Coin","Basic","SizeSmall","Construction",
"Task0083","TID_HARBOR_TASK","Wood",32,"Coins",180,,,,,0,100,3,"Coin","Basic","SizeBig","Construction",
"Task0084","TID_HARBOR_TASK","Wood",36,"Coins",200,,,,,0,100,3,"Coin","Basic","SizeBig","Construction",
"Task0085","TID_HARBOR_TASK","Berry",10,"Coins",120,,,,,0,30,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0086","TID_HARBOR_TASK","Berry",12,"Coins",150,,,,,0,30,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0087","TID_HARBOR_TASK","Berry",14,"Coins",170,,,,,0,30,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0088","TID_HARBOR_TASK","Berry",16,"Coins",200,,,,,0,30,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0089","TID_HARBOR_TASK","Mushroom",7,"Coins",120,,,,,0,30,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0090","TID_HARBOR_TASK","Mushroom",9,"Coins",160,,,,,0,30,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0091","TID_HARBOR_TASK","Mushroom",10,"Coins",180,,,,,0,30,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0092","TID_HARBOR_TASK","Mushroom",12,"Coins",210,,,,,0,30,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0093","TID_HARBOR_TASK","Egg",14,"Coins",130,,,,,0,30,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0094","TID_HARBOR_TASK","Egg",16,"Coins",150,,,,,0,30,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0095","TID_HARBOR_TASK","Egg",19,"Coins",180,,,,,0,30,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0096","TID_HARBOR_TASK","Egg",22,"Coins",210,,,,,0,30,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0097","TID_HARBOR_TASK","Clay",19,"Coins",130,,,,,0,100,3,"Coin","Basic","SizeSmall","Construction",
"Task0098","TID_HARBOR_TASK","Clay",23,"Coins",160,,,,,0,100,3,"Coin","Basic","SizeSmall","Construction",
"Task0099","TID_HARBOR_TASK","Clay",26,"Coins",180,,,,,0,100,3,"Coin","Basic","SizeBig","Construction",
