"Name","TID","TID_DESCRIPTION","Value","Category","Hours","Minutes","Seconds","Type","Building","Tool","ToolProb","IconSWF","IconExportName","Recipe","RequiredBuilding","RequiredBuildingCount","RevealedByDefault"
"String","String","String","int","String","int","int","int","String","String","String","String","String","String","String","String","int","boolean"
"BrickYardCount1","TID_TECH_BRICK_YARD","TID_TECH_BRICK_YARD_DESC",1,"Buildings",,,300000,"BuildingCount","BrickYard",,,,,,,,
"BrickYardLevel2","TID_TECH_BRICK_YARD_LEVEL_2_TO_5","TID_TECH_BRICK_YARD_LEVEL_UPGRADE_DESC",2,"Buildings",,,204000,"BuildingLevel","BrickYard",,,,,,,,
"BrickYardLevel3","TID_TECH_BRICK_YARD_LEVEL_2_TO_5","TID_TECH_BRICK_YARD_LEVEL_UPGRADE_DESC",3,"Buildings",,,258000,"BuildingLevel","BrickYard",,,,,,,,
"BrickYardLevel4","TID_TECH_BRICK_YARD_LEVEL_2_TO_5","TID_TECH_BRICK_YARD_LEVEL_UPGRADE_DESC",4,"Buildings",,,600000,"BuildingLevel","BrickYard",,,,,,,,
"BrickYardLevel5","TID_TECH_BRICK_YARD_LEVEL_2_TO_5","TID_TECH_BRICK_YARD_LEVEL_UPGRADE_DESC",5,"Buildings",,,600000,"BuildingLevel","BrickYard",,,,,,,,
"ChickenCoopCount1","TID_TECH_CHICKEN_COOP_COUNT_1","TID_TECH_CHICKEN_COOP_COUNT_1_DESC",1,"Buildings",,,360,"BuildingCount","ChickenCoop",,,,,,,,
"ChickenCoopLevel2","TID_TECH_CHICKEN_COOP_LEVEL_2_TO_5","TID_TECH_CHICKEN_COOP_LEVEL_UPGRADE_DESC",2,"Buildings",,,2700,"BuildingLevel","ChickenCoop",,,,,,,,
"ChickenCoopLevel3","TID_TECH_CHICKEN_COOP_LEVEL_2_TO_5","TID_TECH_CHICKEN_COOP_LEVEL_UPGRADE_DESC",3,"Buildings",,,36000,"BuildingLevel","ChickenCoop",,,,,,,,
"ChickenCoopLevel4","TID_TECH_CHICKEN_COOP_LEVEL_2_TO_5","TID_TECH_CHICKEN_COOP_LEVEL_UPGRADE_DESC",4,"Buildings",,,408000,"BuildingLevel","ChickenCoop",,,,,,,,
"ChickenCoopLevel5","TID_TECH_CHICKEN_COOP_LEVEL_2_TO_5","TID_TECH_CHICKEN_COOP_LEVEL_UPGRADE_DESC",5,"Buildings",,,564000,"BuildingLevel","ChickenCoop",,,,,,,,
"ClayStorageCount1","TID_TECH_CLAY","TID_TECH_CLAY_DESC",1,"Buildings",,,180,"BuildingCount","ClayStorage",,,"sc/background_images.sc","tech_image_clay",,,,
"ClayStorageCount2","TID_TECH_CLAY_STORAGE_COUNT_2","TID_TECH_CLAY_STORAGE_COUNT_2_DESC",2,"Buildings",,,1500,"BuildingCount","ClayStorage",,,,,,,,
"ClayStorageCount3","TID_TECH_CLAY_STORAGE_COUNT_3","TID_TECH_CLAY_STORAGE_COUNT_3_DESC",3,"Buildings",,,174000,"BuildingCount","ClayStorage",,,,,,,,
"ClayStorageLevel2","TID_TECH_CLAY_STORAGE_LEVEL_2_TO_10","TID_TECH_CLAY_STORAGE_LEVEL_UPGRADE_DESC",2,"Buildings",,,600,"BuildingLevel","ClayStorage",,,,,,,,
"ClayStorageLevel3","TID_TECH_CLAY_STORAGE_LEVEL_2_TO_10","TID_TECH_CLAY_STORAGE_LEVEL_UPGRADE_DESC",3,"Buildings",,,2700,"BuildingLevel","ClayStorage",,,,,,,,
"ClayStorageLevel4","TID_TECH_CLAY_STORAGE_LEVEL_2_TO_10","TID_TECH_CLAY_STORAGE_LEVEL_UPGRADE_DESC",4,"Buildings",,,51000,"BuildingLevel","ClayStorage",,,,,,,,
"ClayStorageLevel5","TID_TECH_CLAY_STORAGE_LEVEL_2_TO_10","TID_TECH_CLAY_STORAGE_LEVEL_UPGRADE_DESC",5,"Buildings",,,36000,"BuildingLevel","ClayStorage",,,,,,,,
"ClayStorageLevel6","TID_TECH_CLAY_STORAGE_LEVEL_2_TO_10","TID_TECH_CLAY_STORAGE_LEVEL_UPGRADE_DESC",6,"Buildings",,,162000,"BuildingLevel","ClayStorage",,,,,,,,
"ClayStorageLevel7","TID_TECH_CLAY_STORAGE_LEVEL_2_TO_10","TID_TECH_CLAY_STORAGE_LEVEL_UPGRADE_DESC",7,"Buildings",,,306000,"BuildingLevel","ClayStorage",,,,,,,,
"ClayStorageLevel8","TID_TECH_CLAY_STORAGE_LEVEL_2_TO_10","TID_TECH_CLAY_STORAGE_LEVEL_UPGRADE_DESC",8,"Buildings",,,600000,"BuildingLevel","ClayStorage",,,,,,,,
"ClayStorageLevel9","TID_TECH_CLAY_STORAGE_LEVEL_2_TO_10","TID_TECH_CLAY_STORAGE_LEVEL_UPGRADE_DESC",9,"Buildings",,,600000,"BuildingLevel","ClayStorage",,,,,,,,
"ClayStorageLevel10","TID_TECH_CLAY_STORAGE_LEVEL_2_TO_10","TID_TECH_CLAY_STORAGE_LEVEL_UPGRADE_DESC",10,"Buildings",,,600000,"BuildingLevel","ClayStorage",,,,,,,,
"HouseCount2","TID_TECH_HOUSE_COUNT_2","TID_TECH_HOUSE_COUNT_2_TO_10_DESC",2,"Buildings",,,60,"BuildingCount","House",,,,,,,,
"HouseCount3","TID_TECH_HOUSE_COUNT_3","TID_TECH_HOUSE_COUNT_2_TO_10_DESC",3,"Buildings",,,120,"BuildingCount","House",,,,,,,,
"HouseCount4","TID_TECH_HOUSE_COUNT_4","TID_TECH_HOUSE_COUNT_2_TO_10_DESC",4,"Buildings",,,1800,"BuildingCount","House",,,,,,,,
"HouseCount5","TID_TECH_HOUSE_COUNT_5","TID_TECH_HOUSE_COUNT_2_TO_10_DESC",5,"Buildings",,,48000,"BuildingCount","House",,,,,,,,
"HouseCount6","TID_TECH_HOUSE_COUNT_6","TID_TECH_HOUSE_COUNT_2_TO_10_DESC",6,"Buildings",,,228000,"BuildingCount","House",,,,,,,,
"HouseCount7","TID_TECH_HOUSE_COUNT_7","TID_TECH_HOUSE_COUNT_2_TO_10_DESC",7,"Buildings",,,252000,"BuildingCount","House",,,,,,,,
"HouseCount8","TID_TECH_HOUSE_COUNT_8","TID_TECH_HOUSE_COUNT_2_TO_10_DESC",8,"Buildings",,,600000,"BuildingCount","House",,,,,,,,
"HouseCount9","TID_TECH_HOUSE_COUNT_9","TID_TECH_HOUSE_COUNT_2_TO_10_DESC",9,"Buildings",,,600000,"BuildingCount","House",,,,,,,,
"HouseCount10","TID_TECH_HOUSE_COUNT_10","TID_TECH_HOUSE_COUNT_2_TO_10_DESC",10,"Buildings",,,600000,"BuildingCount","House",,,,,,,,
"HouseLevel2","TID_TECH_HOUSE_LEVEL_3_TO_10","TID_TECH_HOUSE_LEVEL_UPGRADE_DESC",2,"Buildings",,,30000,"BuildingLevel","House",,,,,,,,
"HouseLevel3","TID_TECH_HOUSE_LEVEL_3_TO_10","TID_TECH_HOUSE_LEVEL_UPGRADE_DESC",3,"Buildings",,,39000,"BuildingLevel","House",,,,,,,,
"HouseLevel4","TID_TECH_HOUSE_LEVEL_3_TO_10","TID_TECH_HOUSE_LEVEL_UPGRADE_DESC",4,"Buildings",,,84000,"BuildingLevel","House",,,,,,,,
"HouseLevel5","TID_TECH_HOUSE_LEVEL_3_TO_10","TID_TECH_HOUSE_LEVEL_UPGRADE_DESC",5,"Buildings",,,120000,"BuildingLevel","House",,,,,,,,
"HouseLevel6","TID_TECH_HOUSE_LEVEL_3_TO_10","TID_TECH_HOUSE_LEVEL_UPGRADE_DESC",6,"Buildings",,,138000,"BuildingLevel","House",,,,,,,,
"HouseLevel7","TID_TECH_HOUSE_LEVEL_3_TO_10","TID_TECH_HOUSE_LEVEL_UPGRADE_DESC",7,"Buildings",,,138000,"BuildingLevel","House",,,,,,,,
"HouseLevel8","TID_TECH_HOUSE_LEVEL_3_TO_10","TID_TECH_HOUSE_LEVEL_UPGRADE_DESC",8,"Buildings",,,282000,"BuildingLevel","House",,,,,,,,
"HouseLevel9","TID_TECH_HOUSE_LEVEL_3_TO_10","TID_TECH_HOUSE_LEVEL_UPGRADE_DESC",9,"Buildings",,,282000,"BuildingLevel","House",,,,,,,,
"HouseLevel10","TID_TECH_HOUSE_LEVEL_3_TO_10","TID_TECH_HOUSE_LEVEL_UPGRADE_DESC",10,"Buildings",,,588000,"BuildingLevel","House",,,,,,,,
"PumpkinFieldCount2","TID_TECH_PUMPKIN_FIELD_COUNT_1","TID_TECH_PUMPKIN_FIELD_1_DESC",2,"Buildings",,,1500,"BuildingCount","PumpkinField",,,,,,,,
"PumpkinFieldCount3","TID_TECH_PUMPKIN_FIELD_COUNT_2","TID_TECH_PUMPKIN_FIELD_2_DESC",3,"Buildings",,,276000,"BuildingCount","PumpkinField",,,,,,,,
"PumpkinFieldCount4","TID_TECH_PUMPKIN_FIELD_COUNT_3","TID_TECH_PUMPKIN_FIELD_3_DESC",4,"Buildings",,,600000,"BuildingCount","PumpkinField",,,,,,,,
"SawmillCount1","TID_TECH_SAWMILL","TID_TECH_SAWMILL_DESC",1,"Buildings",,,504000,"BuildingCount","Sawmill",,,,,,,,
"SawmillLevel2","TID_TECH_SAWMILL_LEVEL_2_TO_5","TID_TECH_SAWMILL_LEVEL_UPGRADE_DESC",2,"Buildings",,,360000,"BuildingLevel","Sawmill",,,,,,,,
