"Name","Boats","PremiumBoat","TID","InfoTID","IconSWF","IconExportName","Cooldown","PointsNeededForLevel","GoldRewardPercentage","KnowledgRewardPercentage","ReputationRewardPercentage","AutoUnlocked","RelationGainPerTask"
"String","String","String","String","String","String","String","int","int","int","int","int","boolean","int"
"TradePartner001_GlimmeringDales","Boat_Normal_GlimmeringDales_01","Boat_Premium_GlimmeringDales_01","TID_TRADEPARTNER_001_NAME","TID_TRADEPARTNER_001_INFO","sc/npc_characters.sc","trade_route_npc_glimmering_dale",14400,0,100,,,"TRUE",1
,,,,,,,,1000,105,,,,
,,,,,,,,2000,110,,,,
,,,,,,,,3000,115,,,,
,,,,,,,,4000,120,,,,
,,,,,,,,5000,125,,,,
,,,,,,,,6000,130,,,,
,,,,,,,,7000,135,,,,
,,,,,,,,8000,140,,,,
,,,,,,,,9000,150,,,,
"TradePartner002_HighlandAcademy","Boat_Normal_HighlandAcademy_01","Boat_Premium_HighlandAcademy_01","TID_TRADEPARTNER_002_NAME","TID_TRADEPARTNER_002_INFO","sc/npc_characters.sc","trade_route_npc_highland_academy",14400,0,,100,100,"TRUE",1
,,,,,,,,1000,,105,105,,
,,,,,,,,2000,,110,110,,
,,,,,,,,3000,,115,115,,
,,,,,,,,4000,,120,120,,
,,,,,,,,5000,,125,125,,
,,,,,,,,6000,,130,130,,
,,,,,,,,7000,,135,135,,
,,,,,,,,8000,,140,140,,
,,,,,,,,9000,,150,150,,
"TradePartner003_SummeryWoods","Boat_Normal_SummeryWoods_01","Boat_Premium_SummeryWoods_01","TID_TRADEPARTNER_003_NAME","TID_TRADEPARTNER_003_INFO","sc/npc_characters.sc","trade_route_npc_summery_woods",7200,0,100,100,100,"TRUE",1
,,,,,,,,1000,105,105,105,,
,,,,,,,,2000,110,110,110,,
,,,,,,,,3000,115,115,115,,
,,,,,,,,4000,120,120,120,,
,,,,,,,,5000,125,125,125,,
,,,,,,,,6000,130,130,130,,
,,,,,,,,7000,135,135,135,,
,,,,,,,,8000,140,140,140,,
,,,,,,,,9000,150,150,150,,
"TradePartner004_IcebergIsles","Boat_Normal_IcebergIsles_01","Boat_Premium_IcebergIsles_01","TID_TRADEPARTNER_004_NAME","TID_TRADEPARTNER_004_INFO","sc/npc_characters.sc","trade_route_npc_iceberg_isles",21600,0,100,100,100,"TRUE",1
,,,,,,,,1000,105,105,105,,
,,,,,,,,2000,110,110,110,,
,,,,,,,,3000,115,115,115,,
,,,,,,,,4000,120,120,120,,
,,,,,,,,5000,125,125,125,,
,,,,,,,,6000,130,130,130,,
,,,,,,,,7000,135,135,135,,
,,,,,,,,8000,140,140,140,,
,,,,,,,,9000,150,150,150,,
