"Items",,,,,,,,,,,,,,
,"Data","Type","FixedX","FixedY","IgnorePlacementRules","MinDistanceFromCenter","MaxDistanceFromCenter","State","StoredWood","StoredFood","StoredCoins","StoredBerry","StoredMushroom","AutomaticallyProducedAmount"
,"String","String","int","int","boolean","int","int","String","int","int","int","int","int","int"
,"Town Hall","Building",33,33,,,,,,2,350,,,
,"Fountain","Building",40,23,,,,"Unconstructed",,,,,,30
,"House","Building",38,29,,,,,,,,,,
,"WoodStorage","Building",39,39,,,,,2,,,,,
,"PumpkinField","Building",38,33,,,,,,,,,,
,"VillageTrader","Building",52,38,"TRUE",,,,,,,,,
,"TradingAreaGround","Obstacle",55,36,"TRUE",,,,,,,,,
,"CartPositionVillage","Building",58,39,"TRUE",,,,,,,,,
,"CartPositionNation","Building",53,32,"TRUE",,,,,,,,,
,"CartPositionChallenge","Building",49,32,"TRUE",,,,,,,,,
,"MoonGate","Building",64,36,"TRUE",,,,,,,,,
,"CartPositionConstruction","Building",59,32,"TRUE",,,,,,,,,
,"ClayPit","Building",41,48,,,,"Unconstructed",,,,,,
,"StoneMine","Building",50,15,,,,"Unconstructed",,,,,,
,"StoneMine","Building",12,54,,,,"Unconstructed",,,,,,
,"ClayPit","Building",17,16,,,,"Unconstructed",,,,,,
,"ManagedForest","Building",27,54,,,,"Unconstructed",,,,,,
,"ManagedForest","Building",12,33,,,,"Unconstructed",,,,,,
,"ManagedForest","Building",36,10,,,,"Unconstructed",,,,,,
,"Mushrooms_ftue","Obstacle",48,27,,,,,,,,,,
,"Mushrooms_ftue","Obstacle",46,26,,,,,,,,,,
,"Mushrooms_ftue","Obstacle",47,26,,,,,,,,,,
,"Mushrooms_ftue","Obstacle",47,39,,,,,,,,,,
,"Mushrooms_ftue","Obstacle",46,42,,,,,,,,,,
,"Mushrooms_ftue","Obstacle",46,40,,,,,,,,,,
,"BerryClump_ftue","Obstacle",45,38,,,,,,,,,,
