"Name","RequiredResource","RequiredAmount","RewardResource","RewardAmount","VillageLevel","TriggerMission","TriggerBuilding","TriggerBuildingLevel","TriggerTech","RewardChest"
"String","String","int","String","int","int","String","String","int","String","String"
"Batch1","Wood",2,"Coins",50,,,,,"HouseCount3","TutorialVillage1"
,"Berry",4,"Coins",80,,,,,,
,"Mushroom",3,"Coins",60,,,,,,
"Batch2","Clay",4,"Coins",80,,,"ClayStorage",1,,"TutorialVillage2"
,"Wood",3,"Coins",40,,,,,,
,"Berry",4,"Coins",40,,,,,,
"Batch3","Egg",2,"Coins",300,,,"ChickenCoop",1,,"TutorialVillage3"
,"Berry",9,"Coins",120,,,,,,
,"Mushroom",4,"Coins",60,,,,,,
"Batch4","Berry",6,"Coins",80,,,"FigurineWorkshop",1,,"TutorialVillage4"
,"Wood",10,"Coins",120,,,,,,
,"Mushroom",3,"Coins",45,,,,,,
,"Clay",5,"Coins",80,,,,,,
,"Egg",1,"Coins",50,,,,,,
,"Figurine",1,"Coins",200,,,,,,
"Batch5","Berry",4,"Coins",40,,,"Library",4,,"TutorialVillage5"
,"Wood",12,"Coins",100,,,,,,
,"Mushroom",3,"Coins",45,,,,,,
,"Clay",6,"Coins",60,,,,,,
,"Egg",3,"Coins",60,,,,,,
,"Wool",6,"Coins",60,,,,,,
,"Socks",1,"Coins",80,,,,,,
,"Figurine",2,"Coins",160,,,,,,
,"Wood",6,"Coins",50,,,,,,
