"Name","TID","InfoTID","Speed","HardcodedArrival","TownHallLevel","RequiredBuilding","LevelUpXp","NameSet","GfxId","Scale","CollisionShape","IsVillager","DefaultSkin","DefaultSkinVariation","BaseModifiers","BoostEffect","BoostMoveEffect","IconSWF","IconExportName","IsTaskProvider","NPC","Speciality","SpecialityLevel","TouchEffect"
"String","String","String","int","boolean","int","String","int","String","String","int","String","boolean","String","int","String","String","String","String","String","boolean","String","String","int","String"
"karl_worker_01","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Male","villager_karl",100,"Resident","true",,,"karl_race1_body_01","Boosted","Boosted_move",,,,,,,"Tap_villager_male"
,,,,,,,,,,,,,,,"karl_outf_top_01",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_bottom_01",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_belt_02",,,,,,,,,
,,,,,,,,,,,,,,,"eye_color_blue",,,,,,,,,
,,,,,,,,,,,,,,,"karl_race1_hair_01",,,,,,,,,
"carolina_worker_01","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Female","villager_carolina",100,"Resident","true",,,"carolina_race1_body_01","Boosted","Boosted_move",,,,,,,"Tap_villager_female"
,,,,,,,,,,,,,,,"carolina_outf_top_01",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_arm_01",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_01",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race1_hair_01",,,,,,,,,
"karl_worker_02","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Male","villager_karl",100,"Resident","true",,,"karl_race1_body_02","Boosted","Boosted_move",,,,,,,"Tap_villager_male"
,,,,,,,,,,,,,,,"karl_outf_top_02",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_arm_01",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_belt_01",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_bottom_02",,,,,,,,,
,,,,,,,,,,,,,,,"karl_race1_hair_02",,,,,,,,,
"carolina_worker_03","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Female","villager_carolina",103,"Resident","true",,,"carolina_race1_body_03","Boosted","Boosted_move",,,,,,,"Tap_villager_female"
,,,,,,,,,,,,,,,"carolina_outf_top_03",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_arm_03",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_03",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race1_hair_03",,,,,,,,,
